"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:6xJOhSm4SvZwzy3uhWz26O","The Enemy","spotify:artist:3UAk61T8PItbpgEi9u7ofY","Andrew Belle","spotify:album:2Objy4bpKyIT4JsUsBr8ka","Black Bear","spotify:artist:3UAk61T8PItbpgEi9u7ofY","Andrew Belle","2013-08-20","https://i.scdn.co/image/ab67616d0000b273fafdf49927539fd29b1217ba","1","8","286865","https://p.scdn.co/mp3-preview/61e52e213bc019c57dd2681cd48fddd767345e95?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:","2022-03-10T18:37:35Z","acoustic pop,indie folk,neo mellow,pop rock","0.536","0.89","1","-5.222","1","0.0375","0.078","0.0202","0.131","0.273","121.974","4","","Andrew Belle","C 2013 Andrew Belle, P 2013 Andrew Belle"
"spotify:track:7bY5R1aMqo72yntoqhw72e","Prayer","spotify:artist:6GFfu1alUSrL7qazImC160","Keaton Henson","spotify:album:341A6tPNsyBWDE6GfJqZPH","Prayer","spotify:artist:6GFfu1alUSrL7qazImC160","Keaton Henson","2020-08-12","https://i.scdn.co/image/ab67616d0000b27380a6157a8c69a67d9e9736bc","1","1","357080","https://p.scdn.co/mp3-preview/54fe4ba2c2b1061fa7b00abc40eee97e5231973b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:","2022-03-10T18:37:35Z","ambient folk,british singer-songwriter,chamber pop,indie folk,stomp and holler","0.25","0.0406","1","-17.224","1","0.035","0.973","0.0805","0.1","0.0385","101.474","3","","Play It Again Sam","C 2020 Play It Again Sam, P 2020 Play It Again Sam"
"spotify:track:06g2mTFVd1NzgYT94N35dw","My Name Next To Yours","spotify:artist:7ocbmQfDODtTh1CFeK66wW","Cy","spotify:album:6nv0SVXPSa3fXdkma35Tmi","My Name Next To Yours","spotify:artist:7ocbmQfDODtTh1CFeK66wW","Cy","2021-03-26","https://i.scdn.co/image/ab67616d0000b273d96d51602e31e9e443e570fe","1","1","188824","https://p.scdn.co/mp3-preview/33d0d1b731c16d9a6eacee70f3e3893f986f9b83?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:","2022-03-10T18:37:35Z","","0.886","0.535","4","-5.793","1","0.0332","0.453","0.000186","0.102","0.571","106.982","4","","Cy Music","C 2021 Cy Music, P 2021 Cy Music"
"spotify:track:5qNh5WtzMbfpSj2jLlBkoD","Your Power","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:7H3vJa2HHgxb7qqclOdfJ3","Your Power","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2021-04-29","https://i.scdn.co/image/ab67616d0000b273ba4cad4533efdd06fa843a39","1","1","245896","","false","15","spotify:user:","2022-03-10T18:37:35Z","art pop,electropop,pop","0.634","0.285","9","-14.007","0","0.0807","0.937","0.000359","0.232","0.203","129.65","4","","Darkroom/Interscope Records","C © 2021 Darkroom/Interscope Records, P ℗ 2021 Darkroom/Interscope Records"
"spotify:track:5Zz8mrmVVhOq3iuv8Gh0MX","Medicine","spotify:artist:46CitWgnWrvF9t70C2p1Me","Daughter","spotify:album:4oi6YYTdruWtLATvNiVE46","The Wild Youth EP","spotify:artist:46CitWgnWrvF9t70C2p1Me","Daughter","2011-11-21","https://i.scdn.co/image/ab67616d0000b2733438bd37c4cb87b4558b754c","1","2","258986","https://p.scdn.co/mp3-preview/2868c2e958172756cace612c14690be05580bdf8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:","2022-03-10T18:37:35Z","art pop,shimmer pop","0.215","0.316","3","-12.201","1","0.0297","0.135","0.244","0.595","0.19","94.619","3","","Daughter","C 2012 Daughter, P 2012 Daughter"
"spotify:track:6GH4tLwGW6HliKbZBdt6hD","Unlearn (with Gracie Abrams)","spotify:artist:5CiGnKThu5ctn9pBxv7DGa, spotify:artist:4tuJ0bMpJh08umKkEXKUI5","benny blanco, Gracie Abrams","spotify:album:4uJ6MjXT079RciBfHyecTy","Unlearn (with Gracie Abrams)","spotify:artist:5CiGnKThu5ctn9pBxv7DGa, spotify:artist:4tuJ0bMpJh08umKkEXKUI5","benny blanco, Gracie Abrams","2021-03-24","https://i.scdn.co/image/ab67616d0000b2736363126c986d98aab5f0da89","1","1","155361","https://p.scdn.co/mp3-preview/a2086fda0bb9a19f75e6e2e0eb3cf01dcf6e0d3e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","spotify:user:","2022-03-10T18:37:35Z","electropop,pop,pop rap,alt z,indie pop,pop","0.429","0.214","1","-12.261","1","0.242","0.897","0","0.105","0.189","77.849","4","","Friends Keep Secrets/Interscope Records","C © 2021 Friends Keep Secrets, under exclusive license to Interscope Records, P ℗ 2021 Friends Keep Secrets, under exclusive license to Interscope Records"
"spotify:track:0MVvZYjUh20I13vor30dYe","I Fall Apart - Recorded At Electric Lady Studios NYC","spotify:artist:5qa31A9HySw3T7MKWI9bGg","FLETCHER","spotify:album:29FXbpvWD8WQ6jiKLdhAz6","Spotify Singles","spotify:artist:5qa31A9HySw3T7MKWI9bGg","FLETCHER","2019-09-25","https://i.scdn.co/image/ab67616d0000b2733bbcf67d307906313cbbfc11","1","2","231629","https://p.scdn.co/mp3-preview/c707e06f9ce32d6d06b8b54b4d6855ba2785df38?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:","2022-03-10T18:37:35Z","alt z,dance pop,electropop,indie poptimism,pop,post-teen pop","0.447","0.4","1","-8.462","0","0.0285","0.159","0.00000409","0.153","0.164","75.959","4","","Capitol Records","C © 2019 Snapback Entertainment LLC, under exclusive license to UMG Recordings, Inc., P Capitol Records; ℗ 2019 Snapback Entertainment LLC, under exclusive license to UMG Recordings, Inc."
"spotify:track:6s86N7LVaJZuU4alwKp6XO","Are you happy?","spotify:artist:7eCmccnRwPmRnWPw61x6jM","SHY Martin","spotify:album:71sb3x5BwKk87d7ZBOoSJY","Sad Songs","spotify:artist:7eCmccnRwPmRnWPw61x6jM","SHY Martin","2020-08-07","https://i.scdn.co/image/ab67616d0000b273f047039273f69d31b3208fa4","1","5","157555","https://p.scdn.co/mp3-preview/90fb07988f7cc11c0efc6ef3cc291db1983883bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","spotify:user:","2022-03-10T18:37:35Z","alt z,electropop,pop,swedish electropop","0.632","0.578","9","-7.657","0","0.0905","0.714","0","0.42","0.297","139.324","4","","BLNK Music","P 2020 BLNK Music"
"spotify:track:2C9KY6pNn5jJF6gCkSywPF","N Y L A","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","spotify:album:06TKbOBIOtwxTC0V0YASSQ","N Y L A","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","2013-08-23","https://i.scdn.co/image/ab67616d0000b2736d7073f86e9dd66299bfaaee","1","1","300174","","false","0","spotify:user:","2022-03-10T18:37:35Z","pop,pop rap","0.35","0.333","9","-10.032","1","0.0314","0.797","0","0.357","0.259","104.991","5","","Bear Trap publishing","C 2013 Bear Trap publishing, P 2013 Bear Trap publishing"
"spotify:track:6CYT0souHUHKTO4EMzTUFg","bad ones","spotify:artist:45dkTj5sMRSjrmBSBeiHym","Tate McRae","spotify:album:1BaHo66NCQNx6ku0hPn9bR","TOO YOUNG TO BE SAD","spotify:artist:45dkTj5sMRSjrmBSBeiHym","Tate McRae","2021-03-26","https://i.scdn.co/image/ab67616d0000b2736c2b76e0d78170d577add561","1","1","183133","https://p.scdn.co/mp3-preview/72a920450155a97857e482eeea3c2ee6aedaabab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:","2022-03-10T18:37:35Z","alt z,dance pop,pop,post-teen pop","0.692","0.431","6","-11.884","1","0.0335","0.305","0.0000139","0.132","0.327","138.925","4","","RCA Records Label","P (P) 2021 RCA Records, a division of Sony Music Entertainment"
"spotify:track:18UsAG7SfOQ5sxJEdjAMH0","Be My Mistake","spotify:artist:3mIj9lX2MWuHmhNCA7LSCW","The 1975","spotify:album:6PWXKiakqhI17mTYM4y6oY","A Brief Inquiry Into Online Relationships","spotify:artist:3mIj9lX2MWuHmhNCA7LSCW","The 1975","2018-11-30","https://i.scdn.co/image/ab67616d0000b2736c582022e90b11f0da287a9a","1","6","256688","https://p.scdn.co/mp3-preview/966d986166cee3d9a6d9db0e39eddba7feeae506?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:","2022-03-10T18:37:35Z","modern alternative rock,modern rock,pop,rock","0.572","0.155","6","-14.405","1","0.0344","0.835","0.000137","0.0906","0.0949","109.923","3","","Polydor Records","C © 2018 Dirty Hit, under exclusive licence to Polydor Records and Interscope Records, P ℗ 2018 Dirty Hit, under exclusive licence to Polydor Records and Interscope Records"
