"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:3onuWjUbFaNSdAMD5Z2UOQ","This Morning (feat. Arin Ray & Smino)","spotify:artist:7MNEVabc4cs19CbzAFZmXz, spotify:artist:6TvjXbopXg71XRM9OZWqUc, spotify:artist:1ybINI1qPiFbwDXamRtwxD","Terrace Martin, Arin Ray, Smino","spotify:album:1cSZDrpp0lic8Y70I3JGUa","DRONES","spotify:artist:7MNEVabc4cs19CbzAFZmXz","Terrace Martin","2021-11-05","https://i.scdn.co/image/ab67616d0000b27348b8a1744d1166c4e48b2cfb","1","5","223991","https://p.scdn.co/mp3-preview/78359464ae9dbe4809101024a8ecdfe330acdcbe?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","spotify:user:","2021-11-05T04:01:00Z","alternative r&b,indie soul,alternative r&b,chill r&b,indie r&b,indie soul,pop r&b,r&b,trap soul,alternative r&b,hip hop,rap,underground hip hop","0.685","0.733","1","-6.184","1","0.143","0.00462","0.0000132","0.293","0.55","157.936","4","","BMG Rights Management (US) LLC","C © 2021 Sounds of Crenshaw, LLC under exclusive license to BMG Rights Management (US) LLC, P ℗ 2021 Sounds of Crenshaw, LLC under exclusive license to BMG Rights Management (US) LLC"
"spotify:track:3KsS9NkC5ZlPAIWpGoL5Sx","Crust","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","spotify:album:4duUlv53npBm7EmqxTT1kj","Yasuke","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2021-04-30","https://i.scdn.co/image/ab67616d0000b27306d63bf92ec7b0f6a1dfe182","1","6","133520","https://p.scdn.co/mp3-preview/01982fda386e3968e38c5f8e229d02716f764bc0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:","2021-09-24T04:00:00Z","afrofuturism,alternative hip hop,electronica,escape room,experimental hip hop,glitch,glitch hop,hip hop,intelligent dance music,jazztronica,psychedelic hip hop,wonky","0.676","0.408","9","-7.937","1","0.0811","0.576","0.867","0.201","0.226","106.515","3","","Warp Records","C 2021 Warp Records, P 2021 Warp Records"
"spotify:track:2iq4Pc3NhTJU466gppAKCX","Problems","spotify:artist:5rvubrGTRPAX7N3RZZ9wS0","St. Panther","spotify:album:1Ez1yDVUqoT3HuUtiZuThL","Problems","spotify:artist:5rvubrGTRPAX7N3RZZ9wS0","St. Panther","2021-09-17","https://i.scdn.co/image/ab67616d0000b273a68b891b343d194c44efe79d","1","1","154768","https://p.scdn.co/mp3-preview/81f57599022ab47f7d66fe0562b60d34d1c740a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:","2021-09-24T04:00:00Z","","0.812","0.539","11","-7.24","0","0.125","0.235","0.749","0.11","0.195","99.929","4","","Nice Life Recording Company and How So Records","C (C) 2021 Nice Life Recording Company and How So Records, P (P) 2021 Nice Life Recording Company and How So Records"
"spotify:track:0icYUkm7H0I21NG2oTdpG8","Isolated","spotify:artist:4tNxq9NGKTKaX8OkZBLgf0, spotify:artist:1QfEfvB62EEl4upf2ANKkR, spotify:artist:6D8Yw8YdWpwqkJLx0HnEXH","Nightmares On Wax, Pip Millett, Sabrina Mahfouz","spotify:album:58jh2fv0ZWkGTNzQ1O7Tsq","Shout Out! To Freedom...","spotify:artist:4tNxq9NGKTKaX8OkZBLgf0","Nightmares On Wax","2021-10-29","https://i.scdn.co/image/ab67616d0000b2736367b6f7c9e39001edf6cf29","1","13","253306","https://p.scdn.co/mp3-preview/5e29f65f416f869747af34a4bad5d61f43d04ed8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:","2021-11-05T04:01:00Z","bleep techno,downtempo,electronica,nu jazz,trip hop,turntablism,alternative r&b,chill r&b,indie r&b,indie soul,uk contemporary r&b","0.551","0.267","1","-13.809","1","0.0665","0.383","0.0531","0.118","0.256","160.016","4","","Warp Records","C 2021 Warp Records, P 2021 Warp Records"
"spotify:track:2awkR27GHixnzSiswN0AiT","Little Q, Pt. 2","spotify:artist:6eXZu6O7nAUA5z6vLV8NKI","Little Simz","spotify:album:0DBoWQ52XUHtrZQdfAqOVj","Sometimes I Might Be Introvert","spotify:artist:6eXZu6O7nAUA5z6vLV8NKI","Little Simz","2021-09-03","https://i.scdn.co/image/ab67616d0000b2738880312891033e27f0e4341b","1","6","226453","https://p.scdn.co/mp3-preview/074f698e22d1105873ed4ca20fb6be42f877a914?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","spotify:user:","2021-09-24T04:00:00Z","escape room,trap queen","0.586","0.639","10","-8.887","0","0.201","0.269","0.000285","0.139","0.517","170.377","4","","AGE 101","C 2021 AGE 101 MUSIC under exclusive license to AWAL Recordings Ltd, P 2021 AGE 101 MUSIC under exclusive license to AWAL Recordings Ltd"
"spotify:track:4WaqKOyMYufVzW57VrYc6U","Luvaroq","spotify:artist:1CgbNAF3Stnz1Tpipu3xdO, spotify:artist:1O9iHQjrVuiAYOJFCBeFSl","Elujay, serpentwithfeet","spotify:album:1pXnRcKwgFFQDSyUNWng6b","Luvaroq","spotify:artist:1CgbNAF3Stnz1Tpipu3xdO, spotify:artist:1O9iHQjrVuiAYOJFCBeFSl","Elujay, serpentwithfeet","2021-10-01","https://i.scdn.co/image/ab67616d0000b273efb904fef891940861d4e99f","1","1","220781","https://p.scdn.co/mp3-preview/77ab66571982cea746b51f252156eb04b9b51793?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","spotify:user:","2021-10-15T17:58:51Z","alternative r&b,cali rap,chill r&b,indie hip hop,indie r&b,indie soul,underground hip hop,alternative r&b,art pop,escape room,experimental r&b,indie soul","0.68","0.686","1","-6.089","1","0.0285","0.04","0.0975","0.0455","0.79","142.007","4","","OneTime!","C 2021 OneTime!, P 2021 OneTime!"
"spotify:track:30w4c9hVQ30ZKUyDRFPWwB","We Can","spotify:artist:1mKtlPrXjWK6oIdk9cSOjs","Asiahn","spotify:album:66fSlEgSAeZtsxCCuTDmhU","We Can","spotify:artist:1mKtlPrXjWK6oIdk9cSOjs","Asiahn","2021-10-28","https://i.scdn.co/image/ab67616d0000b2737f24ec23f91637fd12e095ba","1","1","193937","https://p.scdn.co/mp3-preview/00f14064b5b3ec95c3ec1fd4b6af8429a63f6239?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","spotify:user:","2021-11-05T04:01:00Z","alternative r&b,chill r&b,indie r&b,pop r&b,r&b","0.411","0.741","6","-9.898","0","0.115","0.303","0.0000644","0.0889","0.539","124.639","4","","SinceThe80s/Motown Records","C © 2021 UMG Recordings, Inc., P SinceThe80s/Motown Records; ℗ 2021 UMG Recordings, Inc."
"spotify:track:0HOyjfrsAUktL1MeMxP9Fo","Nostalgia","spotify:artist:3lcTi8VZbKKXUa0gpyLQx2","Tae","spotify:album:4oU7ZVhl83heRjeobpGFIN","Nostalgia","spotify:artist:3lcTi8VZbKKXUa0gpyLQx2","Tae","2020-11-27","https://i.scdn.co/image/ab67616d0000b273ce86a1e7cb0ae0e4d2289f04","1","1","230000","https://p.scdn.co/mp3-preview/277e6099549133744361b90f5ce017546b0f7438?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:","2021-09-24T04:00:00Z","","0.641","0.613","2","-10.079","1","0.0464","0.634","0.000765","0.388","0.431","120.013","4","","Tae","C 2020 Tae, P 2020 Tae"
"spotify:track:2AdcAJUXNrvgKEdIEbXVy8","GEEKIN","spotify:artist:6XoXNsXj8wck0oVUNwxcmF, spotify:artist:5oSCIcpPdrO3UhTMATxkYL","MIA GLADSTONE, Ciscero","spotify:album:5mmKNEoVu2DMJwMqPz1e4h","GEEKIN","spotify:artist:6XoXNsXj8wck0oVUNwxcmF, spotify:artist:5oSCIcpPdrO3UhTMATxkYL","MIA GLADSTONE, Ciscero","2019-11-20","https://i.scdn.co/image/ab67616d0000b273432d1cec60a251feca6199e5","1","1","157921","https://p.scdn.co/mp3-preview/ea6ca3cf76bc4d0282afb26cd5c10f575d2d7290?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:","2021-09-24T04:00:00Z","indie r&b,dmv rap","0.783","0.916","1","-8.204","1","0.0767","0.251","0.00231","0.128","0.752","119.984","4","","22Twenty","C 2019 22Twenty, P 2019 22Twenty"
"spotify:track:4Ef1QKChVVBQLt0wmTycUS","Run Away","spotify:artist:5oOhM2DFWab8XhSdQiITry, spotify:artist:4mErKO4g29SXtBwj4S80aB","Tycho, rum.gold","spotify:album:0TUxwnkbBEjBhriA5aTOL8","Run Away","spotify:artist:5oOhM2DFWab8XhSdQiITry, spotify:artist:4mErKO4g29SXtBwj4S80aB","Tycho, rum.gold","2020-09-30","https://i.scdn.co/image/ab67616d0000b27352c3185771678d9782ab225a","1","1","219199","https://p.scdn.co/mp3-preview/69f0b4dc9754558ad2e263b452d6844105f2888f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:","2021-09-24T04:00:00Z","chillwave,downtempo,electronica,indietronica,intelligent dance music,alternative r&b,chill r&b,indie r&b","0.593","0.557","8","-13.319","1","0.0483","0.389","0.54","0.103","0.502","180.099","4","","Mom+Pop","C 2020 Mom+Pop/Ninja Tune, P 2020 Mom+Pop/Ninja Tune"
