"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4jryPeoj0IzKENkhcX0Lpm","Only Way Out (feat. Vancouver Sleep Clinic)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc, spotify:artist:77BznF1Dr1k5KyEZ6Nn3jB","Madeon, Vancouver Sleep Clinic","spotify:album:3uKLwDjku2Us0c81LEmftR","Adventure (Deluxe)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","2015-03-30","https://i.scdn.co/image/ab67616d0000b27392cb28b37837c67dffe602f9","1","18","226746","https://p.scdn.co/mp3-preview/394e0e2d70ff51520e52e2ae1d79f6b55751b234?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:","1970-01-01T00:00:00Z","complextro,edm,electro house,electropop,filter house,future bass,nantes indie,pop dance,indie folk,vapor pop,vapor soul","0.481","0.579","10","-7.011","0","0.0339","0.0101","0","0.0825","0.082","101.974","4","","Columbia","P (P) 2015 Hugo Leclercq under exclusive licence to Sony Music Entertainment UK Limited"
"spotify:track:3omHpz9fmngYFdHDRLGeRZ","In My Head","spotify:artist:4FXGRMSHh2JjHxVwS8dhH1, spotify:artist:2uYisEeWBn5hp3e8ObdeUV","Virtual Riot, PRXZM","spotify:album:2dWOpnP0YpfsKioO0CiNtl","In My Head","spotify:artist:4FXGRMSHh2JjHxVwS8dhH1, spotify:artist:2uYisEeWBn5hp3e8ObdeUV","Virtual Riot, PRXZM","2016-10-29","https://i.scdn.co/image/ab67616d0000b273af45b5354e740510bdeb3314","1","1","222352","https://p.scdn.co/mp3-preview/4c2f2b7b00a092d3e6df2785e694bdf02dd28786?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:","1970-01-01T00:00:00Z","brostep,complextro,dubstep,edm,electro house,future bass,gaming dubstep,melodic dubstep,indie electropop","0.708","0.713","11","-5.39","1","0.0657","0.0555","0.00389","0.32","0.264","101.999","4","","Spirited","C 2016 Spirited, P 2016 Spirited"
"spotify:track:1Ti0eQStqxmd4zpFizF2z1","Drive (feat. Tilian)","spotify:artist:5CdJjUi9f0cVgo9nFuJrFa, spotify:artist:2Wzb0u138rgoZQTK3ytknT, spotify:artist:2hj2E6c3lMHm5QlqsQFI04","Adventure Club, BEAUZ, Tilian","spotify:album:3Iz1TViTuDQ6C7Cyn5CD7k","Love // Chaos","spotify:artist:5CdJjUi9f0cVgo9nFuJrFa","Adventure Club","2022-02-11","https://i.scdn.co/image/ab67616d0000b273c2dc1cee265d9d10f2758b1d","1","3","199203","https://p.scdn.co/mp3-preview/a358617440e5d62a8626386af06a673fa1c28c6f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","spotify:user:","1970-01-01T00:00:00Z","brostep,canadian electronic,edm,electro house,electronic trap,electropop,filthstep,future bass,melodic dubstep,pop dance,pop edm,pop dance,pop edm,progressive post-hardcore","0.536","0.852","2","-3.994","1","0.071","0.184","0.00000114","0.122","0.536","150.075","4","","Ultra Records, LLC","P (P) 2022 Ultra Records, LLC"
"spotify:track:3kbaZC3FZTecvlSR67Sr19","Fingerbib","spotify:artist:6kBDZFXuLrZgHnvmPu9NsG","Aphex Twin","spotify:album:43s2fKRQsOSB6rSrxtAXKK","Richard D. James Album","spotify:artist:6kBDZFXuLrZgHnvmPu9NsG","Aphex Twin","1996-11-04","https://i.scdn.co/image/ab67616d0000b27300a2c8519996a0bc41e9abf1","1","4","228866","https://p.scdn.co/mp3-preview/8cc62b4b9df3f88155fa220f6622ba622c9750fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:","1970-01-01T00:00:00Z","ambient,braindance,electronica,intelligent dance music,uk experimental electronic","0.619","0.564","10","-10.696","0","0.0293","0.872","0.926","0.16","0.787","131.908","4","","Warp Records","C 1996 Warp Records, P 1996 Warp Records"
"spotify:track:0b4FAp9BjRoh9MmCs3TI0D","Grateful","spotify:artist:4YUBqnGDhH4JphZIhi9cdB","Laxcity","spotify:album:46oF8bPSYc6DHs2PpqViTG","Disconnect","spotify:artist:4YUBqnGDhH4JphZIhi9cdB","Laxcity","2021-01-29","https://i.scdn.co/image/ab67616d0000b27392790ce99b502d5954aeb8bb","1","4","238333","https://p.scdn.co/mp3-preview/fd1227b2542980129c7e39b9b39d645f602eabec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:","1970-01-01T00:00:00Z","future bass,vapor twitch","0.721","0.876","1","-4.239","1","0.0905","0.494","0.289","0.452","0.55","144.058","4","","ALT:Vision Records","C (C) 2021 ALT:Vision Records, P (P) 2021 ALT:Vision Records"
"spotify:track:66nqicP4reySyhdDRo3VZh","너 땜에 맘이 맘이 맘이 맘이 괴로워요","spotify:artist:1F31FB7Y6ic4844PbqMf7c","death's dynamic shroud","spotify:album:1BVQ0iqg1mFg3Q48OLlwOT","I'll Try Living Like This","spotify:artist:1F31FB7Y6ic4844PbqMf7c","death's dynamic shroud","2015-05-15","https://i.scdn.co/image/ab67616d0000b27317d7c3f4e4631f685c5f4524","1","1","260000","https://p.scdn.co/mp3-preview/436947022a5372dfc0c8aeaff91442b5028a3cd7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:","1970-01-01T00:00:00Z","art pop,deconstructed club,escape room,hardvapour,slushwave,vaporwave","0.583","0.787","6","-7.595","1","0.0384","0.0153","0.035","0.322","0.222","119.962","4","","Ghost Diamond","C 2015 Death's Dynamic Shroud, P 2015 Death's Dynamic Shroud"
"spotify:track:6QVqhBd4NcFa4ib1SFaaGE","Lily Love","spotify:artist:042mLfOBpH8OoX8A6sUYhf, spotify:artist:7ENPvuBbgvzxUxphwZYm6t","GHOST DATA, Kaivaan","spotify:album:0BnNVRat5Ex81WyBzLeKyp","Girl's Love","spotify:artist:042mLfOBpH8OoX8A6sUYhf","GHOST DATA","2016-03-08","https://i.scdn.co/image/ab67616d0000b273a81de30c9c909cc341d28c16","1","10","268302","https://p.scdn.co/mp3-preview/aebd8f6f2b05f4c33b5359e3d9bbe344cab92343?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:","1970-01-01T00:00:00Z","future funk,kawaii future bass","0.583","0.552","6","-7.474","0","0.0645","0.00768","0.0336","0.13","0.127","95.014","4","","GHOST DATA Music Inc","C 2019 GHOST DATA Music Inc, P 2019 GHOST DATA Music Inc"
"spotify:track:3maqY8XwtNEzFbMZymWLrD","Habits (feat. PASTEL GHOST)","spotify:artist:0pWwt5vGNzezEhfAcc420Y","Mr.Kitty","spotify:album:7EbRbTKOAx4p2xgpSDzuP3","A.I.","spotify:artist:0pWwt5vGNzezEhfAcc420Y","Mr.Kitty","2017-03-10","https://i.scdn.co/image/ab67616d0000b2735d3ecd69fb38c0d661d6837f","1","3","253718","https://p.scdn.co/mp3-preview/34bf18acde5e71f90116af5656bd5c2543d65689?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:","1970-01-01T00:00:00Z","weirdcore","0.532","0.822","7","-8.068","0","0.0308","0.000753","0.633","0.098","0.259","140.053","4","","Negative Gain Productions","C 2017 Negative Gain Productions, P 2017 Negative Gain Productions"
"spotify:track:3cjvqsvvU80g7WJPMVh8iq","Genesis","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:3HED2IUaNSnbOe88a7ZdwM","Visions","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2012-02-21","https://i.scdn.co/image/ab67616d0000b273550133f6d334ed152d75aa56","1","2","255320","https://p.scdn.co/mp3-preview/70397d7a89fc11ea72a756331eddc000fdb99029?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:","1970-01-01T00:00:00Z","art pop,canadian electropop,chillwave,dance pop,electropop,grave wave,indietronica,metropopolis,pop","0.611","0.677","10","-6.745","0","0.034","0.0764","0.0698","0.241","0.233","166.04","4","","4AD","C 2012 Arbutus Records under exclusive license to 4AD Ltd, P 2012 Arbutus Records under exclusive license to 4AD Ltd"
"spotify:track:1jhPKL7JgADE0JvvuEhGip","Softpretty","spotify:artist:7bQLFALIEawxhkyFiiLVhM","Doss","spotify:album:4xjMqQEOwrmNySKz6WVOcG","Doss","spotify:artist:7bQLFALIEawxhkyFiiLVhM","Doss","2014-04-29","https://i.scdn.co/image/ab67616d0000b273cbd27bd35d69c3dfeffe9334","1","2","219311","https://p.scdn.co/mp3-preview/2aa241dbbad8c2228fd87774051d9f4ee79359b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:","1970-01-01T00:00:00Z","art pop,deconstructed club,dream trance,escape room,hyperpop","0.563","0.836","1","-7.192","0","0.0331","0.0234","0.14","0.099","0.594","132.974","4","","Acéphale","C 2014 Acéphale, P 2014 Acéphale"
