"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:0GO8y8jQk1PkHzS31d699N","Tongue Tied","spotify:artist:3kVUvbeRdcrqQ3oHk5hPdx","Grouplove","spotify:album:3oylWMc9TTC6Nx4I6U3axc","Never Trust a Happy Song","spotify:artist:3kVUvbeRdcrqQ3oHk5hPdx","Grouplove","2011-09-02","https://i.scdn.co/image/ab67616d0000b273d84a9bbcba91cb6a4a212b1b","1","2","218013","https://p.scdn.co/mp3-preview/2147e7bd8762aa4f7f1ce38ba02cfa618c530758?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","spotify:user:","2020-08-05T16:14:06Z","indie rock,indietronica,la indie,modern alternative rock,modern rock,pop rock,rock,stomp and holler","0.56","0.936","3","-5.835","1","0.0439","0.00847","0","0.161","0.371","112.96","4","","Canvasback/ATL","C © 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States., P ℗ 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States."
"spotify:track:6hJhVBOnkchxBsDHbLOBJP","Drift Away - Single Version","spotify:artist:3mC1KCuZZSOlN8Z0M56VsV","Dobie Gray","spotify:album:4EuAVxsazdEFr5ylShtllS","Ultimate Collection: Dobie Gray","spotify:artist:3mC1KCuZZSOlN8Z0M56VsV","Dobie Gray","2001-01-01","https://i.scdn.co/image/ab67616d0000b27309742e3446a646bf23eeb21e","1","7","237466","https://p.scdn.co/mp3-preview/3f54617e999634cc84ce1682465a86838374bd59?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:","2021-12-13T21:17:11Z","motown,northern soul","0.521","0.443","11","-8.188","1","0.0395","0.308","0","0.475","0.596","76.228","4","","Hip-O (UC)","C © 2001 Universal Music Enterprises, a Division of UMG Recordings, Inc., P ℗ 2001 Universal Music Enterprises, a Division of UMG Recordings, Inc."
"spotify:track:4RvWPyQ5RL0ao9LPZeSouE","Everybody Wants To Rule The World","spotify:artist:4bthk9UfsYUYdcFyqxmSUU","Tears For Fears","spotify:album:3myPwaMYjdwhtq0nFgeG6W","Songs From The Big Chair (Super Deluxe Edition)","spotify:artist:4bthk9UfsYUYdcFyqxmSUU","Tears For Fears","1985-02-25","https://i.scdn.co/image/ab67616d0000b27322463d6939fec9e17b2a6235","1","3","251488","https://p.scdn.co/mp3-preview/d7cb27def7ab1ef7f69317dfed0ba6620bd476d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","spotify:user:","2020-08-05T16:14:06Z","new romantic,new wave,new wave pop,permanent wave,rock,soft rock,sophisti-pop,synthpop","0.645","0.795","7","-12.095","1","0.0527","0.347","0.00389","0.104","0.535","112.067","4","","UMC (Universal Music Catalogue)","C © 2014 Mercury Records Limited, P This Compilation ℗ 2014 Mercury Records Limited"
"spotify:track:6J2rMSRhgb4HuX6dWgM3nJ","I Melt with You","spotify:artist:0fYPQBOx0vsRMmjUba9HgF","Modern English","spotify:album:4vRPqgP624nl5Nupi3AxzZ","After the Snow","spotify:artist:0fYPQBOx0vsRMmjUba9HgF","Modern English","1982-01-25","https://i.scdn.co/image/ab67616d0000b273277f9005d9c9475965086560","1","5","251573","https://p.scdn.co/mp3-preview/70da51a5487763370c250a1923146a0799a0b4ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:","2020-08-05T16:14:06Z","new romantic,new wave,new wave pop,post-punk,synthpop","0.541","0.81","0","-11.745","1","0.0367","0.000975","0.00158","0.0681","0.647","155.582","4","","Blixa Sounds","C (C) 1982 Modern English, under Exclusive License to Extra Term Audio LLC for the United States"
"spotify:track:5Ts1DYOuouQLgzTaisxWYh","Love Grows (Where My Rosemary Goes)","spotify:artist:1NRzxuPpdGushT8YmF5NAa","Edison Lighthouse","spotify:album:4XDWk7zU6KDgLaqLxEYi8y","Love Grows (Where My Rosemary Goes) & Other Gems","spotify:artist:1NRzxuPpdGushT8YmF5NAa","Edison Lighthouse","1970-01-01","https://i.scdn.co/image/ab67616d0000b2739a0011cc9d31cf969b656905","1","1","174760","https://p.scdn.co/mp3-preview/89f983998c06efbe4fd70420766595f21c793fe2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","spotify:user:","2022-01-04T20:23:23Z","bubblegum pop","0.568","0.824","9","-4.613","1","0.0299","0.403","0","0.0855","0.753","108.625","4","","Crimson","C (C) 2019 Demon Music Group Ltd., P (P) 1970 Laurence Myers Ltd"
"spotify:track:0ofHAoxe9vBkTCp2UQIavz","Dreams - 2004 Remaster","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:0BwWUstDMUbgq2NYONRqlu","Rumours (Super Deluxe)","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1977-02-04","https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b","1","2","257800","https://p.scdn.co/mp3-preview/40d1f6d82f16b05b62aae47e8e130de04b407fc8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","spotify:user:","2020-08-05T16:14:06Z","album rock,classic rock,mellow gold,rock,soft rock,yacht rock","0.828","0.492","0","-9.744","1","0.0276","0.0644","0.00428","0.128","0.789","120.151","4","","Rhino/Warner Records","C © 2013 Warner Records Inc., P ℗ 2013 Warner Records Inc. Marketed by Rhino Entertainment Company, a Warner Music Group Company."
"spotify:track:2I43coEbzFSTMGO3kCjLMB","Daylight","spotify:artist:4MSMDY0ClgWqXApU53I1L1","Matt and Kim","spotify:album:5cxPqlom9gvcBT1dqiPMqJ","Grand","spotify:artist:4MSMDY0ClgWqXApU53I1L1","Matt and Kim","2009","https://i.scdn.co/image/ab67616d0000b273a28ad11e571eb5f7e350f252","1","1","171333","","false","0","spotify:user:","2020-08-05T16:14:06Z","brooklyn indie,indie pop,indie poptimism,indie rock,indietronica,modern alternative rock,modern rock,pop rock","0.583","0.79","9","-4.885","1","0.0319","0.0851","0.000387","0.11","0.714","103.286","4","","FADER Label","P (P) 2008 Matt and Kim Inc under exclusive license to Fader Label USA"
"spotify:track:4dyx5SzxPPaD8xQIid5Wjj","Young Folks","spotify:artist:6u11Qbko2N2hP4lTBYjX86","Peter Bjorn and John","spotify:album:5g4E06cxsFEMFE9hSekAt2","Writer's Block","spotify:artist:6u11Qbko2N2hP4lTBYjX86","Peter Bjorn and John","2006-01-01","https://i.scdn.co/image/ab67616d0000b2739cf4ac84b224a02f34d2e4f6","1","3","276693","https://p.scdn.co/mp3-preview/05c447415e6dbc78a50b61dae6450ebb5de69dac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","spotify:user:","2020-08-05T16:14:06Z","alternative dance,baroque pop,indie pop,indie rock,modern rock,new rave,swedish alternative rock,swedish indie pop","0.699","0.812","0","-6.005","1","0.0377","0.0164","0.000763","0.105","0.662","138.185","4","","Universal Music AB","C © 2006 Universal Music AB, P ℗ 2006 Universal Music AB"
"spotify:track:7oK9VyNzrYvRFo7nQEYkWN","Mr. Brightside","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","spotify:album:4undIeGmofnAYKhnDclN1w","Hot Fuss","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","2004-06-15","https://i.scdn.co/image/ab67616d0000b27356a6d6e493a8f338be63fc49","1","2","222586","https://p.scdn.co/mp3-preview/503e7964d06bdf5fa4591d048caf30ff64d13d2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","spotify:user:","2020-08-05T16:14:06Z","alternative rock,dance rock,modern rock,permanent wave,rock","0.356","0.924","1","-3.74","1","0.0808","0.00101","0","0.0953","0.232","148.017","4","","Island Records","C © 2004 The Island Def Jam Music Group, P ℗ 2004 The Island Def Jam Music Group"
"spotify:track:4v2rkl1mC3zVAz0nXMx9r4","Heart Of Glass","spotify:artist:4tpUmLEVLCGFr93o8hFFIB","Blondie","spotify:album:4M6s2jbhKWEcOdXZ8WiHts","Parallel Lines","spotify:artist:4tpUmLEVLCGFr93o8hFFIB","Blondie","1978-09-23","https://i.scdn.co/image/ab67616d0000b273ace2bedb8e6cfa04207d5c0f","1","10","229423","https://p.scdn.co/mp3-preview/5b8dd8e0536c2a2faf3d5ac2eb503ea4159bad16?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:","2020-08-05T16:14:06Z","candy pop,new wave,new wave pop,permanent wave,power pop,rock","0.77","0.654","4","-6.108","1","0.0361","0.0539","0.00047","0.0819","0.685","114.82","4","","Chrysalis\EMI Records (USA)","C © 1978 Blondie Music, Inc., P ℗ 1978 Blondie Music, Inc."
