"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:0ofHAoxe9vBkTCp2UQIavz","Dreams - 2004 Remaster","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:0BwWUstDMUbgq2NYONRqlu","Rumours (Super Deluxe)","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1977-02-04","https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b","1","2","257800","https://p.scdn.co/mp3-preview/40d1f6d82f16b05b62aae47e8e130de04b407fc8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","spotify:user:","1970-01-01T00:00:00Z","album rock,classic rock,mellow gold,rock,soft rock,yacht rock","0.828","0.492","0","-9.744","1","0.0276","0.0644","0.00428","0.128","0.789","120.151","4","","Rhino/Warner Records","C © 2013 Warner Records Inc., P ℗ 2013 Warner Records Inc. Marketed by Rhino Entertainment Company, a Warner Music Group Company."
"spotify:track:1KLmiSyLPgqc13H4gTBdoU","Closer to Comfort","spotify:artist:46ByQLvGTasUlZZ0fzvop4, spotify:artist:0C5fT1ymHhTRTrSVhDYUta, spotify:artist:4YW1GDcW9hobRPMDi8v6XH","Dreamhouse, Andy Cizek, Makari","spotify:album:4J5uVKPMdxp2bJwyePzQVC","Reverberating Silence","spotify:artist:46ByQLvGTasUlZZ0fzvop4","Dreamhouse","2019-10-18","https://i.scdn.co/image/ab67616d0000b2735ff75a07fa9b2b7a9d0aadbf","1","3","236793","https://p.scdn.co/mp3-preview/b83a2b5e560cc7db3072b835c76a52622d8ef18b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:","1970-01-01T00:00:00Z","milwaukee indie,progressive post-hardcore,swancore","0.516","0.904","8","-3.905","1","0.0449","0.0139","0","0.0777","0.268","145.016","4","","InVogue Records","C (C) 2019 InVogue Records"
"spotify:track:0M3adYbGtyRHACP86dey1H","Throne","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","spotify:album:7FqHuAvmREiIwVXVpZ9ooP","That's The Spirit","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","2015-09-11","https://i.scdn.co/image/ab67616d0000b273736145b97bab8fa92cb6113f","1","3","191520","https://p.scdn.co/mp3-preview/3387030a0dfcc81c3d75934c8e15385fb8f89a35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:","1970-01-01T00:00:00Z","melodic metalcore,metalcore,rock,uk metalcore","0.426","0.888","0","-3.72","0","0.0987","0.000455","0","0.306","0.387","144.111","4","","RCA Records Label","P (P) 2015 Sony Music Entertainment UK Limited"
"spotify:track:6txWz9UapYHVxEd7dDIHXT","No Rain","spotify:artist:5sD1ZLf2dGQ9gQ3YJl1eAd","Blind Melon","spotify:album:55jET4vDioHHd7ztX7OX3h","Blind Melon","spotify:artist:5sD1ZLf2dGQ9gQ3YJl1eAd","Blind Melon","1992-01-01","https://i.scdn.co/image/ab67616d0000b2737ed1df1690df31d094d7c2bc","1","7","217106","https://p.scdn.co/mp3-preview/36adeb851bf8cfbeefabc9334af8c5b50ca3974c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:","1970-01-01T00:00:00Z","alternative metal,alternative rock,blues rock,grunge,pop rock,rock","0.389","0.476","9","-9.342","1","0.0316","0.619","0.0000509","0.255","0.566","148.117","4","","Capitol Records","C © 1992 Capitol Records, LLC, P ℗ 1992 Capitol Records, LLC"
"spotify:track:3Ye5icBka8ODjcaEQakPvZ","Oblivion","spotify:artist:2S5hlvw4CMtMGswFtfdK15","Royal Blood","spotify:album:05aqnnpYVOvsX0SIzmIuxi","Typhoons","spotify:artist:2S5hlvw4CMtMGswFtfdK15","Royal Blood","2021-04-30","https://i.scdn.co/image/ab67616d0000b273712b9c0f9a8d380e26a95c1c","1","2","161253","https://p.scdn.co/mp3-preview/18b72f566d6299073aadcdf48efe70dde16e47d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:","1970-01-01T00:00:00Z","alternative rock,brighton indie,garage rock,modern alternative rock,modern blues rock,modern hard rock,modern rock,rock","0.642","0.823","4","-3.68","0","0.0612","0.000281","0.00211","0.216","0.826","112.005","4","","Warner Records","C under exclusive licence to Warner Records UK, a division of Warner Music UK Limited, © 2021 Imperial Galactic Limited t/a Black Mammoth, P under exclusive licence to Warner Records UK, a division of Warner Music UK Limited, ℗ 2021 Imperial Galactic Limited t/a Black Mammoth , with the exception of Track 1 2020 Imperial Galactic Limited t/a Black Mammoth"
"spotify:track:6FfSelhMMRoigvtAlYPmBd","Scarlet Cross","spotify:artist:6O7MpKrY91vlCd4Osi6XKs","Black Veil Brides","spotify:album:5GMs2D82ElHRpVGbtUod3J","The Phantom Tomorrow","spotify:artist:6O7MpKrY91vlCd4Osi6XKs","Black Veil Brides","2021-10-29","https://i.scdn.co/image/ab67616d0000b273732e81a8c2d229f62201bf95","1","2","217279","https://p.scdn.co/mp3-preview/80583d13f75e56785ebdee4d414eac1e37742270?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:","1970-01-01T00:00:00Z","alternative metal,modern rock,rock,screamo","0.44","0.95","0","-2.365","0","0.187","0.00018","0.00239","0.353","0.421","126.041","4","","Sumerian Records","C © 2021 Sumerian Records, P ℗ 2021 Sumerian Records"
"spotify:track:24NwBd5vZ2CK8VOQVnqdxr","Sweet Emotion","spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","spotify:album:36IxIOGEBAXVozDSiVs09B","Toys In The Attic","spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","1975-04-08","https://i.scdn.co/image/ab67616d0000b2739662c6535fb4bf5767e50f32","1","6","274133","https://p.scdn.co/mp3-preview/8d7338ca736693a3f145ef410d2050678a734dc2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:","1970-01-01T00:00:00Z","album rock,classic rock,hard rock,rock","0.38","0.76","9","-10.961","1","0.0378","0.00298","0.0294","0.104","0.491","99.437","4","","Columbia","P (P) 1975 Columbia Records, a division of Sony Music Entertainment"
"spotify:track:2DlHlPMa4M17kufBvI2lEN","Chop Suey!","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","spotify:album:6jWde94ln40epKIQCd8XUh","Toxicity","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","2001-09-04","https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578","1","6","210240","https://p.scdn.co/mp3-preview/cd2a1f9fd7619bdae4e2e718b11d5bb054a3d677?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","spotify:user:","1970-01-01T00:00:00Z","alternative metal,nu metal,rap metal,rock","0.417","0.934","7","-3.908","0","0.119","0.000278","0.0015","0.132","0.287","127.066","4","","American/Columbia","P (P) 2001 Sony Music Entertainment. With American Recordings, LLC."
"spotify:track:3mwvKOyMmG77zZRunnxp9E","Buddy Holly","spotify:artist:3jOstUTkEu2JkjvRdBA5Gu","Weezer","spotify:album:1xpGyKyV26uPstk1Elgp9Q","Weezer","spotify:artist:3jOstUTkEu2JkjvRdBA5Gu","Weezer","1994-05-10","https://i.scdn.co/image/ab67616d0000b273345536847e60f622ee0eae96","1","4","159226","https://p.scdn.co/mp3-preview/8e4fe24146a0acac840e9f3ed45f92b684bd96bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:","1970-01-01T00:00:00Z","alternative rock,modern power pop,modern rock,permanent wave,rock","0.556","0.92","8","-4.606","1","0.0367","0.00271","0.00021","0.117","0.771","121.138","4","","DGC","C © 1994 DGC Records, P ℗ 1994 DGC Records"
"spotify:track:02lTDOxHeXTHsdwXoz6lpC","In the Meantime","spotify:artist:3NZE8jDD2cCzd4vUyZ5CQQ","Spacehog","spotify:album:6vOmA5zWeFeKvuRBxaO59A","Resident Alien","spotify:artist:3NZE8jDD2cCzd4vUyZ5CQQ","Spacehog","1995","https://i.scdn.co/image/ab67616d0000b2739511e3a2fc113eae0dd111dd","1","1","299506","https://p.scdn.co/mp3-preview/6f077ae6c5ac013b1f6748c80a08b8b3f6101cc3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:","1970-01-01T00:00:00Z","alternative rock,glam rock,pop rock","0.269","0.895","9","-6.382","1","0.118","0.083","0.00266","0.153","0.16","168.479","4","","Rhino/Elektra","C © 2004 Elektra Entertainment. Manufactured & Marketed by Warner Strategic Marketing, P ℗ 2004 Elektra Entertainment. Manufactured & Marketed by Warner Strategic Marketing"
