"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:7mFj0LlWtEJaEigguaWqYh","Sweetest Pie","spotify:artist:181bsRPaVXVlUKXrxwZfHK, spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Megan Thee Stallion, Dua Lipa","spotify:album:4qw41n8iWrdR70Ui3hYBPv","Sweetest Pie","spotify:artist:181bsRPaVXVlUKXrxwZfHK, spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Megan Thee Stallion, Dua Lipa","2022-03-11","https://i.scdn.co/image/ab67616d0000b273a432a52653d486c73c71e47a","1","1","201334","https://p.scdn.co/mp3-preview/2ec34327f8db35a2e3d9e046355d62ac2ad20a8a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","spotify:user:","2022-03-14T15:49:38Z","dance pop,houston rap,pop,trap queen,dance pop,pop,uk pop","0.814","0.628","7","-7.178","1","0.221","0.167","0","0.101","0.677","123.977","4","","300 Entertainment","C © 2022 1501 Certified Ent. LLC / 300 Entertainment, P ℗ 2022 1501 Certified Ent. LLC / 300 Entertainment"
"spotify:track:5dPz35akJjPqb17yeqNwqH","Ghost","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","spotify:album:0w1dwXfG5z6Xjjgj524JkD","Justice","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","2021-03-19","https://i.scdn.co/image/ab67616d0000b2736036cfd2a718036fc523855f","1","11","153190","https://p.scdn.co/mp3-preview/e9b5fa44e3543153ef654ec62366742c85c82bbe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","spotify:user:","2022-03-14T15:49:38Z","canadian pop,pop","0.604","0.741","2","-5.571","1","0.0475","0.178","0.0000349","0.409","0.473","153.947","4","","RBMG/Def Jam","C © 2021 Def Jam Recordings, a division of UMG Recordings, Inc., P ℗ 2021 Def Jam Recordings, a division of UMG Recordings, Inc."
"spotify:track:3USxtqRwSYz57Ewm6wWRMp","Heat Waves","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","spotify:album:5bfpRtBW7RNRdsm3tRyl3R","Dreamland","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","2020-08-07","https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464","1","14","238805","https://p.scdn.co/mp3-preview/807fbead013f8f87d805b26224304c79d7f19091?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","spotify:user:","2022-03-14T15:49:38Z","gauze pop,indietronica,shiver pop","0.761","0.525","11","-6.9","1","0.0944","0.44","0.0000067","0.0921","0.531","80.87","4","","Polydor Records","C © 2020 Wolf Tone Records, a division of Universal Music Operations Limited, P ℗ 2020 Wolf Tone Records, a division of Universal Music Operations Limited"
"spotify:track:0e8nrvls4Qqv5Rfa2UhqmO","THATS WHAT I WANT","spotify:artist:7jVv8c5Fj3E9VhNjxT4snq","Lil Nas X","spotify:album:6pOiDiuDQqrmo5DbG0ZubR","MONTERO","spotify:artist:7jVv8c5Fj3E9VhNjxT4snq","Lil Nas X","2021-09-17","https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd","1","4","143901","https://p.scdn.co/mp3-preview/75aa4d781c96fe990214d04f4e61efb702bf635c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","96","spotify:user:","2022-03-14T15:49:38Z","lgbtq+ hip hop,pop","0.737","0.846","1","-4.51","0","0.22","0.00614","0","0.0486","0.546","87.981","4","","Columbia","P (P) 2021 Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:0QBzMgT7NIeoCYy3sJCof1","Bam Bam (feat. Ed Sheeran)","spotify:artist:4nDoRrQiYLoBzwC5BhVJzF, spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Camila Cabello, Ed Sheeran","spotify:album:6FIMt58naoGYrOe4Wn2P3n","Bam Bam (feat. Ed Sheeran)","spotify:artist:4nDoRrQiYLoBzwC5BhVJzF, spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Camila Cabello, Ed Sheeran","2022-03-04","https://i.scdn.co/image/ab67616d0000b273364ef5f9057092741f667fea","1","1","206070","https://p.scdn.co/mp3-preview/7c5b1799d6939d19053c26be1b834777be6a55e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","spotify:user:","2022-03-14T15:49:38Z","dance pop,pop,post-teen pop,pop,uk pop","0.756","0.697","8","-6.377","1","0.0401","0.182","0","0.333","0.956","94.996","4","","Epic","P (P) 2022 Epic Records, a division of Sony Music Entertainment"
"spotify:track:59CfNbkERJ3NoTXDvoURjj","Boyfriend","spotify:artist:2W8yFh0Ga6Yf3jiayVxwkE","Dove Cameron","spotify:album:4jUfPmvZGiRRJwULbfk1dc","Boyfriend","spotify:artist:2W8yFh0Ga6Yf3jiayVxwkE","Dove Cameron","2022-02-11","https://i.scdn.co/image/ab67616d0000b2730397f50cb9dc5393db5d08bc","1","1","153000","https://p.scdn.co/mp3-preview/7c5594271a0673001f566aed3cdf9f462741443b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","94","spotify:user:","2022-03-14T15:49:38Z","pop,post-teen pop","0.345","0.612","7","-6.543","0","0.0608","0.232","0","0.194","0.232","179.773","3","","Disruptor Records/Columbia","P (P) 2022 Disruptor Records/Columbia Records"
"spotify:track:5HCyWlXZPP0y6Gqq8TgA20","STAY (with Justin Bieber)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:1uNFoZAHBGtllmzznpCI3s","The Kid LAROI, Justin Bieber","spotify:album:4QLAtpLNUsHEYrcHXmMIZZ","STAY (with Justin Bieber)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:1uNFoZAHBGtllmzznpCI3s","The Kid LAROI, Justin Bieber","2021-07-09","https://i.scdn.co/image/ab67616d0000b27341e31d6ea1d493dd77933ee5","1","1","141805","https://p.scdn.co/mp3-preview/dd4d8d66b97b6edcb5358135e72620715e1449f9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","97","spotify:user:","2022-03-14T15:49:38Z","australian hip hop,canadian pop,pop","0.591","0.764","1","-5.484","1","0.0483","0.0383","0","0.103","0.478","169.928","4","","Columbia","P (P) 2021 Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:1r9xUipOqoNwggBpENDsvJ","Enemy (with JID) - from the series Arcane League of Legends","spotify:artist:53XhwfbYqKCa1cC15pYq2q, spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7, spotify:artist:57nPqD7z62gDdq37US9XJR, spotify:artist:47mIJdHORyRerp4os813jD","Imagine Dragons, JID, Arcane, League of Legends","spotify:album:1bTgKomQYSkKYPD9UI9W4b","Enemy (with JID) [from the series Arcane League of Legends]","spotify:artist:53XhwfbYqKCa1cC15pYq2q, spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7, spotify:artist:57nPqD7z62gDdq37US9XJR","Imagine Dragons, JID, Arcane","2021-10-28","https://i.scdn.co/image/ab67616d0000b273aa597e50829169e6994eb403","1","1","173381","https://p.scdn.co/mp3-preview/bd0eaa32cd545406bc958e1a220fc36551e72cb0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","98","spotify:user:","2022-03-14T15:49:38Z","modern rock,rock,hip hop,rap,speedrun,video game music","0.728","0.783","11","-4.424","0","0.266","0.237","0","0.434","0.555","77.011","4","","KIDinaKORNER/Interscope Records","C © 2021 KIDinaKORNER/Interscope Records, P ℗ 2021 KIDinaKORNER/Interscope Records"
"spotify:track:1ri9ZUkBJVFUdgwzCnfcYs","MAMIII","spotify:artist:4obzFoKoKRHIphyHzJ35G3, spotify:artist:790FomKkXshlbRYZFtlgla","Becky G, KAROL G","spotify:album:6GHUywBU0u92lg0Dhrt40R","MAMIII","spotify:artist:4obzFoKoKRHIphyHzJ35G3, spotify:artist:790FomKkXshlbRYZFtlgla","Becky G, KAROL G","2022-02-10","https://i.scdn.co/image/ab67616d0000b27372babf690675fe969470e8ee","1","1","226088","https://p.scdn.co/mp3-preview/a270730db8c094877900b167a41d186ce6755d0a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","96","spotify:user:","2022-03-14T15:49:38Z","dance pop,latin,latin pop,latin viral pop,pop,rap latina,reggaeton,trap latino,latin,reggaeton,reggaeton colombiano,trap latino","0.843","0.7","4","-3.563","0","0.0803","0.0934","0","0.14","0.899","93.991","4","","Kemosabe Records/RCA Records","P (P) 2022 Kemosabe Records/RCA Records"
"spotify:track:6bQfNiqyCX7UaQSvVVGo4I","Shivers","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","spotify:album:5kFCfioZraFsRWpoitQjmx","Shivers","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2021-09-10","https://i.scdn.co/image/ab67616d0000b273469407300636945a5eb2d9ed","1","1","207853","","false","27","spotify:user:","2022-03-14T15:49:38Z","pop,uk pop","0.788","0.859","2","-2.724","1","0.0856","0.281","0","0.0424","0.822","141.02","4","","Atlantic Records UK","C An Asylum Records UK release, a division of Atlantic Records UK, © 2021 Warner Music UK Limited, P An Asylum Records UK release, a division of Atlantic Records UK, ℗ 2021 Warner Music UK Limited"
