"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:7iH6cflAGYwR82sNMZiGuq","Until You","spotify:artist:08Uextujt6ZT2iQmSYAJfH","AHI","spotify:album:03MCMaTPo8CiVxwcCvgyem","Until You","spotify:artist:08Uextujt6ZT2iQmSYAJfH","AHI","2021-06-18","https://i.scdn.co/image/ab67616d0000b273388ed6b662de28ca67519b1a","1","1","198653","https://p.scdn.co/mp3-preview/595eaa1a67172ad53751ad32b18b9414f0900d8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:","2022-02-18T16:04:52Z","canadian folk,indie folk","0.722","0.484","9","-10.175","1","0.0611","0.904","0.00000342","0.108","0.44","139.88","4","","22nd Sentry","C (C) 2021 22nd Sentry marketed and distributed by Thirty Tigers, P (P) 2021 22nd Sentry marketed and distributed by Thirty Tigers"
"spotify:track:6u1E03WKp0QsOfK5FEzzGr","Portland, Maine","spotify:artist:4SOtk3HtPYKqxnVuxNBMti","Donovan Woods","spotify:album:1JdFJfWFPgE8UWUOd3R2gm","Portland, Maine","spotify:artist:4SOtk3HtPYKqxnVuxNBMti","Donovan Woods","2016-02-25","https://i.scdn.co/image/ab67616d0000b273701cc38a0f5b7627f906d337","1","1","203893","","false","0","spotify:user:","2022-02-18T16:04:52Z","acoustic pop,canadian singer-songwriter,indie folk,indiecoustica,neo mellow,new americana,stomp and holler","0.608","0.342","4","-14.166","1","0.0316","0.782","0.243","0.109","0.172","80.109","4","","Meant Well / Fontana North","C © 2016 Meant Well, P ℗ 2016 Meant Well"
"spotify:track:2I0t9apRfrVbkxr8Fym2yf","Sorry Now","spotify:artist:35VpsbV6V2NdfTeNZEbKfc","Jill Andrews","spotify:album:4ITAxjdVfgevnS8SA4liGZ","Thirties","spotify:artist:35VpsbV6V2NdfTeNZEbKfc","Jill Andrews","2020-03-27","https://i.scdn.co/image/ab67616d0000b27373717a62917bf9258c56a3b3","1","1","192160","https://p.scdn.co/mp3-preview/33ed04210551ed57949594f35286644968c4b707?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:","2022-02-18T16:04:52Z","acoustic pop,folk-pop,indie folk,new americana,stomp and holler","0.674","0.355","8","-11.398","1","0.0496","0.78","0.000571","0.109","0.24","75.07","4","","Vulture Vulture / Tone Tree Music","C 2020 Vulture Vulture / Tone Tree Music, P 2020 Vulture Vulture / Tone Tree Music"
"spotify:track:1vqtj4c5aNPKkLS2LXkd4E","If I Go, I'm Goin","spotify:artist:5sXaGoRLSpd7VeyZrLkKwt","Gregory Alan Isakov","spotify:album:06UoTVgpPiGnRPGjowrG3g","This Empty Northern Hemisphere","spotify:artist:5sXaGoRLSpd7VeyZrLkKwt","Gregory Alan Isakov","2009-01-01","https://i.scdn.co/image/ab67616d0000b27393a1519118102a6d78164713","1","12","267160","https://p.scdn.co/mp3-preview/08c4dda9b183901647661b114100c209a27c013b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:","2022-02-18T16:04:52Z","indie folk,pop folk,stomp and flutter,stomp and holler","0.509","0.0648","3","-17.293","1","0.0339","0.778","0.0282","0.11","0.192","113.742","4","","Suitcase Town Music","C 2009 Suitcase Town Music, P 2009 Suitcase Town Music"
"spotify:track:5uIYONgpUQ7t0v7D6CTMBt","Shrike","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","spotify:album:78o6vcPIRwoph8a3StqaTU","Nina Cried Power - EP","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","2018-09-06","https://i.scdn.co/image/ab67616d0000b2731cf36d1aad8e2b4dc9eb8b85","1","4","300706","https://p.scdn.co/mp3-preview/fe9db41ed14f3b2a75be8fb954299075004520ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:","2022-02-18T16:04:52Z","irish singer-songwriter,pop","0.387","0.278","7","-8.454","0","0.0318","0.464","0.00527","0.102","0.0632","153.426","3","","Columbia","P (P) 2018 Rubyworks Ltd., under license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:1iepnn71MidOJZ7Y3vfgE4","People Change","spotify:artist:5Bcrb5qQMVTEbJ43fdIS4A","Mipso","spotify:album:2lkaT5goLtwJKxW4EM7Ou4","Edges Run","spotify:artist:5Bcrb5qQMVTEbJ43fdIS4A","Mipso","2018-04-06","https://i.scdn.co/image/ab67616d0000b27341e5e7b0e66de8914a872050","1","6","212853","","false","5","spotify:user:","2022-02-18T16:04:52Z","deep new americana,new americana,north carolina roots,progressive bluegrass,stomp and holler","0.374","0.276","7","-14.945","1","0.0353","0.884","0.0123","0.122","0.412","80.169","4","","Antifragile Music","C © 2018 AntiFragile Music, P ℗ 2018 AntiFragile Music"
"spotify:track:0NeJjNlprGfZpeX2LQuN6c","River","spotify:artist:3qnGvpP8Yth1AqSBMqON5x","Leon Bridges","spotify:album:4svLfrPPk2npPVuI4kXPYg","Coming Home","spotify:artist:3qnGvpP8Yth1AqSBMqON5x","Leon Bridges","2015-06-15","https://i.scdn.co/image/ab67616d0000b27369101a9ff9d0653a753eab10","1","10","238560","","false","3","spotify:user:","2022-02-18T16:04:52Z","modern blues","0.658","0.179","8","-10.866","1","0.0448","0.689","0","0.17","0.191","128.128","4","","Columbia","P (P) 2015 LisaSawyer63, Inc. under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:250RLekaiL1q9qZer975Eg","If We Were Vampires","spotify:artist:3Lg3FGwBxOGuefqekQzRUf","Jason Isbell and the 400 Unit","spotify:album:0gYLr4tpPpRrPg2WIS64jw","The Nashville Sound","spotify:artist:3Lg3FGwBxOGuefqekQzRUf","Jason Isbell and the 400 Unit","2017-06-16","https://i.scdn.co/image/ab67616d0000b2738aac8a5f5e60ea65ec028392","1","5","215563","https://p.scdn.co/mp3-preview/3e54549f60e8a8743b8e603f1914c59b0ffb2c7d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:","2022-02-18T16:04:52Z","alternative country,deep new americana,folk,new americana,roots rock,stomp and holler","0.629","0.208","5","-16.225","1","0.0324","0.824","0.0000037","0.107","0.685","96.609","4","","Southeastern Records","C (C) 2017 Southeastern Records, P (P) 2017 Southeastern Records"
"spotify:track:4UZOq2XyfLk3Yl5ip4fwm7","Nothing's Gonna Happen (Demo)","spotify:artist:5G49Sq5mMzAkGL4ZP6eVPY","The Staves","spotify:album:77IaIITv6d4uIskRJnIu5U","Nothing's Gonna Happen (Demo)","spotify:artist:5G49Sq5mMzAkGL4ZP6eVPY","The Staves","2019-12-06","https://i.scdn.co/image/ab67616d0000b273a0d3d87dc2dc020a8de79e70","1","1","236450","https://p.scdn.co/mp3-preview/dcfd2fc36c07399e73ebb8c698f5742d6ce1af51?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:","2022-02-18T16:04:52Z","chamber pop,indie folk,indie pop,new americana,stomp and holler,uk americana","0.35","0.241","2","-11.74","1","0.0308","0.844","0.000392","0.108","0.245","151.332","4","","Atlantic Records UK","C © 2019 Atlantic Records UK, a Warner Music Group Company, P ℗ 2019 Atlantic Records UK, a Warner Music Group Company"
"spotify:track:5UcsxVPmXd974EkMtowmNV","Fortune - Acoustic","spotify:artist:41FEVJCBGidsJwbjq0KfgM","William Fitzsimmons","spotify:album:3A3SmcC6PqwOyELYxwqUkK","Acoustic Sessions","spotify:artist:41FEVJCBGidsJwbjq0KfgM","William Fitzsimmons","2014-08-05","https://i.scdn.co/image/ab67616d0000b273f7ebd1373ad1182931b0c702","1","2","228013","https://p.scdn.co/mp3-preview/3c83177f12c36581cae594882f2e46fb260493a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:","2022-02-18T16:04:52Z","acoustic pop,indie folk,neo mellow,stomp and holler","0.502","0.0548","1","-23.684","1","0.0356","0.924","0.0418","0.108","0.506","78.455","4","","Nettwerk Records","C © 2014 William Fitzsimmons under exclusive license to Nettwerk Productions, P ℗ 2014 William Fitzsimmons under exclusive license to Nettwerk Productions"
