"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:1hOGUIKEZT0F6kg7cK8y2s","I'd Have to Think About It","spotify:artist:4nxKz1dRYXnsGzN1lUURtG","Leith Ross","spotify:album:5LLa4M2NtpPSWvoeLLjSvJ","I'd Have to Think About It","spotify:artist:4nxKz1dRYXnsGzN1lUURtG","Leith Ross","2021-08-20","https://i.scdn.co/image/ab67616d0000b27357ab126b1dfa519b780db289","1","1","150141","","false","9","spotify:user:","2022-02-14T19:06:03Z","indie pop","0.508","0.213","5","-13.998","1","0.0364","0.829","0.0000111","0.123","0.512","100.764","4","","Birthday Cake","C (C) 2021 Birthday Cake Media Inc., P (P) 2021 Birthday Cake Media Inc."
"spotify:track:5ctQUn7CnXhw5IN3ipcPUt","Last Time","spotify:artist:54tv11ndFfiqXiR03PwdlB","Adam Melchor","spotify:album:3E9bLoDvWxhJiBQ7Y71Asn","Last Time","spotify:artist:54tv11ndFfiqXiR03PwdlB","Adam Melchor","2021-01-08","https://i.scdn.co/image/ab67616d0000b27362e819d36f9597b30be5e172","1","1","193972","https://p.scdn.co/mp3-preview/a86e7cbb24cec78e8f349928e5a98d0f025aa159?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:","2022-02-14T19:06:03Z","indie folk,indie pop,new jersey indie","0.493","0.556","7","-11.351","1","0.102","0.714","0.0439","0.287","0.409","146.057","4","","R&R Digital/Warner Records","C R&R Digital with Warner Records, © 2021 Coquito Records LLC, under exclusive license to Warner Records., P R&R Digital with Warner Records, ℗ 2021 Coquito Records LLC, under exclusive license to Warner Records."
"spotify:track:3b9xmyHRcolDEoaECLJ3OF","Immune","spotify:artist:11dABkjSoOjcP9p3TFSNRj","Jensen McRae","spotify:album:1UQp3aKtwOaczyLpvf5NYn","Immune","spotify:artist:11dABkjSoOjcP9p3TFSNRj","Jensen McRae","2021-01-27","https://i.scdn.co/image/ab67616d0000b273fd354604c705cc05994001a0","1","1","210165","https://p.scdn.co/mp3-preview/4bf8eac1d3ee3efdf88736e352583252f9a68a99?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","spotify:user:","2022-02-14T19:06:03Z","gen z singer-songwriter,indie pop","0.545","0.365","6","-8.97","1","0.0396","0.136","0.00000486","0.201","0.233","150.125","4","","Human Re Sources","C (C) 2021 Human Re Sources, P (P) 2021 Human Re Sources"
"spotify:track:2EO0D7WCnC38HzKncS4nAv","Need You","spotify:artist:65o6y7GtoXzchyiJB3r9Ur","Penny and Sparrow","spotify:album:6898mgjdVWLEBf9gCQpCAS","Olly Olly","spotify:artist:65o6y7GtoXzchyiJB3r9Ur","Penny and Sparrow","2022-01-21","https://i.scdn.co/image/ab67616d0000b273870989364c1ea402616950fe","1","3","189282","","false","47","spotify:user:","2022-02-14T19:06:03Z","acoustic pop,indie folk,indiecoustica,new americana,stomp and holler","0.545","0.642","10","-7.344","1","0.0279","0.517","0.00000175","0.116","0.555","78.51","4","","I Love You","C (C) 2022 I Love You marketed and distributed by Thirty Tigers, P (P) 2021 I Love You marketed and distributed by Thirty Tigers"
"spotify:track:29WxNjKosNpws3mqiuQokS","Love Is Real","spotify:artist:13YVfXddjRIUrubItJjadb","Margaret Glaspy","spotify:album:5XESkiNh8sT8Hn5lrjZWia","Love Is Real","spotify:artist:13YVfXddjRIUrubItJjadb","Margaret Glaspy","2022-02-14","https://i.scdn.co/image/ab67616d0000b27391a6cbfe8893e8594d3cac0c","1","1","148256","https://p.scdn.co/mp3-preview/798848911387a7e4c11897d5667290225557ed16?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:","2022-02-14T21:42:20Z","indie pop","0.389","0.199","2","-11.209","1","0.0321","0.901","0","0.38","0.562","94.589","4","","ATO Records","C 2022 ATO Records, LLC. All Rights Reserved., P 2022 ATO Records, LLC. All Rights Reserved."
"spotify:track:19cfLrrGT1QigjYC4F0mJO","Come to Terms","spotify:artist:3lrDYjsghBMfUTiLziD9q9","TORRES","spotify:album:1EbIfYtE6PdK30IKwYBoKl","Torres","spotify:artist:3lrDYjsghBMfUTiLziD9q9","TORRES","2013","https://i.scdn.co/image/ab67616d0000b273b89357be68ee96997e1109ff","1","9","319466","https://p.scdn.co/mp3-preview/c53286797b40a363b6d90f9d73c30005a15b101f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:","2022-02-14T19:06:03Z","art pop,bubblegrunge,indie folk,indie pop","0.394","0.222","2","-16.412","1","0.0358","0.888","0.00337","0.116","0.134","147.971","4","","TORRES","C 2012 TORRES, P 2012 TORRES"
"spotify:track:1XxBNS8YE8bSpzXjXYpQCY","Wondrous Love","spotify:artist:675tsBPpaZtqyiBwEf3ZEP","Watchhouse","spotify:album:2ZURBTlzCG2WCMuEwvRBaK","Watchhouse","spotify:artist:675tsBPpaZtqyiBwEf3ZEP","Watchhouse","2021-08-13","https://i.scdn.co/image/ab67616d0000b2739226d47c9e64954a946fb12d","1","1","155690","https://p.scdn.co/mp3-preview/eb17ada97f002a28ae4c619b610f7c43b4cffd13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:","2022-02-14T19:06:03Z","deep new americana,folk,new americana,north carolina roots,progressive bluegrass,stomp and holler","0.672","0.396","5","-10.16","1","0.0377","0.914","0.0328","0.13","0.213","112.482","4","","Tiptoe Tiger Music","C (C) 2021 Tiptoe Tiger Music marketed and distributed by Thirty Tigers, P (P) 2021 Tiptoe Tiger Music marketed and distributed by Thirty Tigers"
"spotify:track:2wOQdQ3cXCPARPHwOF4UqZ","Weeds","spotify:artist:3IaqL9bsZtYJkqNLiovVho","Handsome Ghost","spotify:album:25tYEtvcZxgr3UrWzJCr5o","Some Still Morning","spotify:artist:3IaqL9bsZtYJkqNLiovVho","Handsome Ghost","2020-09-18","https://i.scdn.co/image/ab67616d0000b273db69fbb92949ca0ff159696d","1","3","253670","https://p.scdn.co/mp3-preview/cfc8f119213c320c373d75d92252fcc531c65850?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:","2022-02-14T19:06:03Z","hopebeat,indie anthem-folk,indie electropop,indie poptimism,indiecoustica,nyc pop","0.579","0.325","0","-9.835","1","0.0284","0.721","0.00000224","0.403","0.428","79.985","4","","Photo Finish Records","C © 2020 Photo Finish Records, P ℗ 2020 Photo Finish Records"
"spotify:track:5AeoHJUx0PJXAzN425xryh","Dandelion Wine","spotify:artist:5sXaGoRLSpd7VeyZrLkKwt","Gregory Alan Isakov","spotify:album:06UoTVgpPiGnRPGjowrG3g","This Empty Northern Hemisphere","spotify:artist:5sXaGoRLSpd7VeyZrLkKwt","Gregory Alan Isakov","2009-01-01","https://i.scdn.co/image/ab67616d0000b27393a1519118102a6d78164713","1","1","184906","https://p.scdn.co/mp3-preview/40956d594584e0995160eeb0ffcc5428078cd265?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:","2022-02-14T19:06:03Z","indie folk,pop folk,stomp and flutter,stomp and holler","0.413","0.1","0","-16.349","1","0.0332","0.784","0.381","0.0819","0.186","110.696","3","","Suitcase Town Music","C 2009 Suitcase Town Music, P 2009 Suitcase Town Music"
"spotify:track:535qfjYWFpQBjvIpWNG1ZG","Sunflower, Vol. 6","spotify:artist:4LX0KCPnH7gvxEbVXqXmAE","Molly Tuttle","spotify:album:1Misn812Z5W216eNI7NuIy","...but i'd rather be with you","spotify:artist:4LX0KCPnH7gvxEbVXqXmAE","Molly Tuttle","2020-08-28","https://i.scdn.co/image/ab67616d0000b273bd61d68d57b83aac6dd81938","1","9","235418","https://p.scdn.co/mp3-preview/bb556f60688eb6468d3112627c97c8f24f32bdd3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:","2022-02-14T19:06:03Z","folk,new americana,progressive bluegrass","0.579","0.492","11","-16.016","1","0.0383","0.471","0.0187","0.103","0.459","137.766","4","","Compass Records","C 2020 Molly Tuttle. Issued under license to Compass Records., P 2020 Molly Tuttle. Issued under license to Compass Records."
