"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:18asYwWugKjjsihZ0YvRxO","The Motto","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z, spotify:artist:4npEfmQ6YuiwW1GpUmaq3F","Tiësto, Ava Max","spotify:album:278z9UXJaMNDH9Bel9uAxV","The Motto","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z, spotify:artist:4npEfmQ6YuiwW1GpUmaq3F","Tiësto, Ava Max","2021-11-04","https://i.scdn.co/image/ab67616d0000b2736b64f7a7e0e7af3d604ab41e","1","1","164818","https://p.scdn.co/mp3-preview/77c4f335a4735b24684375b9dcc18533bd5a2b2f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","95","spotify:user:selectedbase","2022-03-11T11:18:06Z","big room,brostep,dance pop,dutch edm,edm,house,pop,pop dance,slap house,trance,tropical house,dance pop,pop","0.754","0.763","7","-4.627","0","0.0435","0.0301","0.0000223","0.0901","0.464","117.953","4","","Atlantic Records","C © 2021 Musical Freedom, LLC under exclusive license to Atlantic Recording Corporation for the world., P ℗ 2021 Musical Freedom, LLC under exclusive license to Atlantic Recording Corporation for the world."
"spotify:track:2VYtAJuuOr6RyOOggzSTIB","Over & Over","spotify:artist:1k7Cc2WGh6LAE1TUh6dsiy, spotify:artist:3zOUpziwcfY2bCh4VyJ4Am","Dark Heart, Njomza","spotify:album:5BmL5jO6sV8k294FijuCZo","Over & Over","spotify:artist:1k7Cc2WGh6LAE1TUh6dsiy, spotify:artist:3zOUpziwcfY2bCh4VyJ4Am","Dark Heart, Njomza","2021-08-27","https://i.scdn.co/image/ab67616d0000b2732b05b73bf9f1b9251802ad02","1","1","147110","https://p.scdn.co/mp3-preview/6fd5afbf2c42b2c313a90a08e5f11fb89d5db95f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","spotify:user:selectedbase","2022-03-11T11:18:06Z","alternative r&b","0.774","0.825","6","-4.283","0","0.0536","0.286","0.000215","0.103","0.637","120.983","4","","Selected.","C 2021 Selected., P 2021 Selected."
"spotify:track:19BoXyNUZB8M9PgAyMHVRg","Tell Me","spotify:artist:5344K3N7rx7kw1HjO8psuq, spotify:artist:2xDZ8qyyE2Ti4wL1Ob1T7V","James Carter, Hanne Mjøen","spotify:album:7qnMJEfvGH0G9X6Y3RgJrP","Tell Me","spotify:artist:5344K3N7rx7kw1HjO8psuq, spotify:artist:2xDZ8qyyE2Ti4wL1Ob1T7V","James Carter, Hanne Mjøen","2022-02-11","https://i.scdn.co/image/ab67616d0000b2733f0b2da552c0989388b1b1a2","1","1","127500","https://p.scdn.co/mp3-preview/17ac1db8ec058da93a0a1a25995ec6d394a66673?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:selectedbase","2022-03-11T11:18:06Z","deep house,deep tropical house,new french touch,pop dance,pop edm,tropical house,melodipop,norwegian pop","0.776","0.824","7","-5.117","0","0.039","0.0871","0.0538","0.184","0.771","125.027","4","","Selected.","C 2022 Selected., P 2022 Selected."
"spotify:track:2OZZpID4LgZ0GGm8XB99e3","Don't Forget My Love","spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:360IAlyVv4PCEVjgyMZrxK","Diplo, Miguel","spotify:album:1vtsrwjdXkuAmojBCw2mtv","Don't Forget My Love","spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:360IAlyVv4PCEVjgyMZrxK","Diplo, Miguel","2022-02-11","https://i.scdn.co/image/ab67616d0000b2739bf2cdf4104cf7328d856209","1","1","199090","https://p.scdn.co/mp3-preview/f46c0eea1ea8ceac6d93f2d2b0d80c67faa905c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:selectedbase","2022-03-11T11:18:06Z","dance pop,edm,electro house,house,moombahton,ninja,pop,pop dance,tropical house,dance pop,pop,r&b,urban contemporary","0.638","0.872","2","-6.221","1","0.0415","0.0241","0.0159","0.118","0.253","121.041","4","","Higher Ground","C 2022 Higher Ground, P 2022 Higher Ground"
"spotify:track:0eiLudweyosA5c7EUJ6y0c","Breathe Me In","spotify:artist:58O8UPrTdl4u2buM0skj94","Harrison","spotify:album:0Ez7Txv5ziazJVEVZq41Rc","Breathe Me In","spotify:artist:58O8UPrTdl4u2buM0skj94","Harrison","2021-11-19","https://i.scdn.co/image/ab67616d0000b273e49d5ebb86b507fb038e758a","1","1","178420","https://p.scdn.co/mp3-preview/2458352f5526824b6ff04ec33abace233375c3f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:selectedbase","2022-03-11T11:18:06Z","pop dance","0.712","0.889","0","-6.344","0","0.048","0.0653","0.00384","0.202","0.219","125.022","4","","Selected.","C 2021 Selected., P 2021 Selected."
"spotify:track:20on25jryn53hWghthWWW3","Do It To It","spotify:artist:4pnp4w9g30yLfVIAFnZMRd, spotify:artist:1c70yCa8sRgIiQxl3HOEFo","ACRAZE, Cherish","spotify:album:58cd90Jkrovggh556JPN9L","Do It To It","spotify:artist:4pnp4w9g30yLfVIAFnZMRd","ACRAZE","2021-08-20","https://i.scdn.co/image/ab67616d0000b27384d413b195aac8a69cc6e5c6","1","1","157890","https://p.scdn.co/mp3-preview/87dc5888bb43546549d3443c7ed1f045bf73495d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","95","spotify:user:selectedbase","2022-03-11T11:18:06Z","atl hip hop,girl group,hip pop,r&b,southern hip hop,urban contemporary","0.854","0.806","11","-8.262","0","0.0886","0.0209","0.0542","0.0703","0.637","124.927","4","","Thrive Music, LLC","C © 2021 Thrive Music, LLC, P ℗ 2021 Thrive Music, LLC"
"spotify:track:5oGNrjXPZmU3l00ZDwSaVP","Bitter Heart","spotify:artist:04O00MEN0lHEKWTwRjb1nS, spotify:artist:3mSWsKWD1sXEhsv9vb33sX, spotify:artist:2oD2lrsJ6SWbNJI2XiMV0n, spotify:artist:7EHqnGuGifQoAa3UV6qtvp","THRDL!FE, Thando1988, Anton Karskiy, Billy Vena","spotify:album:3yZqb5fcKyTbXyaXyA5CFO","Bitter Heart","spotify:artist:04O00MEN0lHEKWTwRjb1nS, spotify:artist:3mSWsKWD1sXEhsv9vb33sX, spotify:artist:2oD2lrsJ6SWbNJI2XiMV0n","THRDL!FE, Thando1988, Anton Karskiy","2022-03-04","https://i.scdn.co/image/ab67616d0000b27378de6244ff856c546b01b1fa","1","1","145081","https://p.scdn.co/mp3-preview/1cc1c0f79697b9376c26012d7d6ff154d91ff5ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:selectedbase","2022-03-11T11:18:06Z","uk dance","0.736","0.821","0","-3.934","0","0.0307","0.00903","0","0.111","0.554","121.996","4","","Selected.","C 2022 Selected., P 2022 Selected. under exclusive license from Let Me Hear It LTD"
"spotify:track:0J07ya7WC09FaQADutoBRZ","Love Tonight - Robin Schulz Remix","spotify:artist:2TcGJdSOiOvITBzhvfX8XB, spotify:artist:3t5xRXzsuZmMDkQzgOX35S","Shouse, Robin Schulz","spotify:album:5sg93cUz5Z77nR6n0FMHvS","Love Tonight (Robin Schulz Remix)","spotify:artist:2TcGJdSOiOvITBzhvfX8XB, spotify:artist:3t5xRXzsuZmMDkQzgOX35S","Shouse, Robin Schulz","2021-09-03","https://i.scdn.co/image/ab67616d0000b2739612bc49541808bf30fe7772","1","1","184783","https://p.scdn.co/mp3-preview/9f0edad002b0fd9382aa116ab581984e0147decf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:selectedbase","2022-03-11T11:18:06Z","aussietronica,dance pop,deep euro house,deep house,edm,german dance,pop,pop dance,tropical house","0.52","0.785","0","-7.816","0","0.0764","0.0319","0.000373","0.392","0.225","122.935","4","","Hell Beach","C © 2021 Hell Beach, a division of ONELOVE Recordings, P ℗ 2021 Hell Beach, a division of ONELOVE Recordings"
"spotify:track:4u5KbHYUrsO5ZTfAZe9Wa1","Let It Bleed","spotify:artist:656ibQgcoUQrUPdhQWRcI3, spotify:artist:2SdcyCKXwjtQJymVLGyBlx, spotify:artist:37fzXndf2fxVrk7qarhyo0, spotify:artist:45cP3p476ZtqaaATv4cScf","SOMMA, Jamis, Leo Stannard, Hiisak","spotify:album:5sDLRWZHNSxWX0KoKdOgNI","Let It Bleed","spotify:artist:656ibQgcoUQrUPdhQWRcI3, spotify:artist:2SdcyCKXwjtQJymVLGyBlx, spotify:artist:37fzXndf2fxVrk7qarhyo0","SOMMA, Jamis, Leo Stannard","2022-01-28","https://i.scdn.co/image/ab67616d0000b27387e1d133d651f39cbf62e5c6","1","1","161829","https://p.scdn.co/mp3-preview/b7f2344e4c4b7c3408de5045dd300b7240af5d70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:selectedbase","2022-03-11T11:18:06Z","big room,sky room","0.686","0.78","8","-6.7","1","0.0347","0.127","0.00456","0.0951","0.761","122.967","4","","Selected.","C 2022 Selected., P 2022 Selected."
"spotify:track:6EafRI0UtUidrZbbKpFRYq","Forget About Me","spotify:artist:5ITI6SEoUZMIXXkzCfr4oE, spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:1BqIPGrEhdjdLFpUzce2dh, spotify:artist:2VAnyOxzJuSAj7XIuEOT38","Aluna, Diplo, Durante, AlunaGeorge","spotify:album:7uMat3U8ZyA28xalhv39r5","Forget About Me","spotify:artist:5ITI6SEoUZMIXXkzCfr4oE, spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:1BqIPGrEhdjdLFpUzce2dh","Aluna, Diplo, Durante","2022-01-14","https://i.scdn.co/image/ab67616d0000b273efaf41761fa5d1470c21a6b3","1","1","177637","https://p.scdn.co/mp3-preview/a3b7af2a42b7948e7badba329574cf3ba2446860?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:selectedbase","2022-03-11T11:18:06Z","edm,electro house,house,pop dance,tropical house,dance pop,edm,electro house,house,moombahton,ninja,pop,pop dance,tropical house,progressive house,electropop,house,tropical house","0.721","0.894","3","-7.59","0","0.0488","0.0428","0.502","0.134","0.88","127.005","4","","Mad Decent","C 2022 Mad Decent, P 2022 Mad Decent"
