"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:1XlLmcGawSaHSysOg5YPbq","Hidden Village","spotify:artist:3IYkO05jx2ouEKrI90Fml0","Slacker Jack's","spotify:album:3vr5I9Jb9vgRuFsRfTfhnQ","Hidden Village","spotify:artist:3IYkO05jx2ouEKrI90Fml0","Slacker Jack's","2021-10-08","https://i.scdn.co/image/ab67616d0000b273b6ddcba16db49996efc93152","1","1","157271","https://p.scdn.co/mp3-preview/02404d6df3e9892a5ac8461ddd7181fbcd591777?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:","2022-03-04T16:39:03Z","","0.678","0.324","7","-12.405","1","0.0333","0.874","0.935","0.14","0.307","160.026","4","","Gunn-R Rotation","C 2021 Gunn-R Rotation, P 2021 Gunn-R Rotation"
"spotify:track:0uI7PWd0jx5hO5gFNjSJ6X","Komori Uta","spotify:artist:2mFdkJcl12IZARwSKYhOjx","pedrolina.","spotify:album:1A77yvU3WvZkVD2YGZ4KO1","Komori Uta","spotify:artist:2mFdkJcl12IZARwSKYhOjx","pedrolina.","2021-08-27","https://i.scdn.co/image/ab67616d0000b27312b2b55ae838febb62931a1d","1","1","147732","https://p.scdn.co/mp3-preview/85750669c8833d0ddc247cfa5c41edadc62dcbe5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:","2022-03-04T16:39:03Z","lo-fi brasileiro","0.578","0.361","10","-23.969","0","0.0744","0.104","0.931","0.12","0.0444","156.075","4","","pedrolina.","C 2021 Chiccote's Beats, P 2021 Chiccote's Beats"
"spotify:track:4cAZWQZLlDXoHGYkTNMt4i","Veraneo","spotify:artist:6r9s2iVXnrwENfSRUUtxpa","Senoidal","spotify:album:4rWRzHZirigkgFGQ6fmQZW","Veraneo","spotify:artist:6r9s2iVXnrwENfSRUUtxpa","Senoidal","2021-10-08","https://i.scdn.co/image/ab67616d0000b2739c3711481541dd49ffa46cf2","1","1","179154","https://p.scdn.co/mp3-preview/be376e0480fbdb526a7b4079aa7179801dd5f48a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:","2022-03-04T16:39:03Z","","0.82","0.169","8","-18.35","0","0.0496","0.981","0.954","0.0813","0.497","142.052","4","","Rafael José Caivano","C 2021 Biofilia Records, P 2021 Biofilia Records"
"spotify:track:7Iu0d7ORgRU1CcDymzVPck","nirwana","spotify:artist:7IA63FK0TU9WZO5bPZS2hk","halfpastseven","spotify:album:2plF1M083P6jysg6ODjBNj","nirwana","spotify:artist:7IA63FK0TU9WZO5bPZS2hk","halfpastseven","2021-06-11","https://i.scdn.co/image/ab67616d0000b27388f4ab3be668937fcabdc905","1","1","137288","https://p.scdn.co/mp3-preview/394ba410b980759ae97e1a83b3dc5bad8104f056?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:","2022-03-04T16:39:03Z","lo-fi jazzhop","0.653","0.204","8","-20.081","0","0.061","0.935","0.947","0.109","0.127","139.929","4","","Oiyo Records","C 2021 Oiyo Records, P 2021 Oiyo Records"
"spotify:track:6Owf9tXo9S2GZiVDXG7xrK","Pink Elephants","spotify:artist:1ZUmSYkOlZf9weqimkmtC6","Timestreet","spotify:album:3NKUeD45OF8kHbL2zWNytO","Waterfalls","spotify:artist:1ZUmSYkOlZf9weqimkmtC6","Timestreet","2021-05-06","https://i.scdn.co/image/ab67616d0000b27362fcf42fb59c52f30aba0fff","1","2","171428","https://p.scdn.co/mp3-preview/b267a6283d74cf9fc09cff3795726c4e4c2dda03?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:","2022-03-04T16:39:03Z","","0.55","0.199","6","-19.384","0","0.0592","0.952","0.886","0.0966","0.318","139.999","4","","Score a Score","C 2021 Score a Score, P 2021 ScoreAScore"
"spotify:track:5lxMPRkYu1S9q9lbjMBRFU","it's messed up right?","spotify:artist:4jQBn4Pe1tFPxVo3p6W7uq","Yoga at the Disco","spotify:album:3qmUmUngnxffiEzP215rFo","it's messed up right?","spotify:artist:4jQBn4Pe1tFPxVo3p6W7uq","Yoga at the Disco","2021-11-26","https://i.scdn.co/image/ab67616d0000b273ec644f45f462c62438406b1b","1","1","130651","https://p.scdn.co/mp3-preview/536cbaab110a11de1437fc3a1473a0a25822550a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:","2022-03-04T16:39:03Z","","0.592","0.304","2","-10.589","0","0.207","0.967","0.922","0.105","0.443","69.109","4","","Yoga at the Disco","C Yoga at the Disco, P Yoga at the Disco"
"spotify:track:4R2kOSRbf4gCFAFkebVmSG","oblivion","spotify:artist:6sdgbah9YMIS5jSYdyzpBP","Poetics","spotify:album:3kO3AwdvdYmpheRIATwD5I","oblivion","spotify:artist:6sdgbah9YMIS5jSYdyzpBP","Poetics","2021-07-09","https://i.scdn.co/image/ab67616d0000b273e52d958a5f0d0d941dbbd163","1","1","103789","https://p.scdn.co/mp3-preview/25d12a0cbe8603a00d1def2f9fcba19313141183?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:","2022-03-04T16:39:03Z","lo-fi jazzhop","0.601","0.0117","6","-25.472","0","0.0382","0.916","0.955","0.0983","0.476","111.017","4","","Poetics","C 2021 Poetics, P 2021 Poetics"
"spotify:track:3atyuxObBb1LkmKcvEZT95","Boutique","spotify:artist:7JD72qpbmGSp9M0uCLOa3D","Lunchmoney","spotify:album:4BGa7q7U3A3NWve9Pxajc4","Boutique","spotify:artist:7JD72qpbmGSp9M0uCLOa3D","Lunchmoney","2020-10-14","https://i.scdn.co/image/ab67616d0000b2737335c01a1ce36c5e1e2d9db9","1","1","112592","https://p.scdn.co/mp3-preview/1093b4df749a3535af79070905b04d9f33a41d9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:","2022-03-04T16:39:03Z","lo-fi beats","0.648","0.25","11","-16.382","1","0.0834","0.915","0.927","0.15","0.419","161.716","4","","beats@lunch","C 2020 beats@lunch, P 2020 beats@lunch"
"spotify:track:5u6VZLh8SRuyuCRm6QAaDE","Summerheat","spotify:artist:0fjlNlZw225NEmBfLcYg6t","LelleXCX","spotify:album:6EsM3MnrEP0kcCf73zoHlF","Youth","spotify:artist:0fjlNlZw225NEmBfLcYg6t","LelleXCX","2021-07-04","https://i.scdn.co/image/ab67616d0000b273db9e9b20ec56407b71b6dc25","1","3","123076","https://p.scdn.co/mp3-preview/7d5074305fbe61268c97654b0fc181bc09c8129c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:","2022-03-04T16:39:03Z","","0.66","0.177","1","-19.726","1","0.0584","0.884","0.92","0.0794","0.77","78.014","4","","Firefly Entertainment AB","C Firefly Entertainment AB, P Firefly Entertainment AB"
"spotify:track:7McehAjzhS8bEprBvY9KDJ","hello","spotify:artist:27bOXURlYhViWycg2CYg6r","werklig","spotify:album:4BY8K9Hr6r1QZHKxg9FYx1","hello","spotify:artist:27bOXURlYhViWycg2CYg6r","werklig","2021-11-26","https://i.scdn.co/image/ab67616d0000b2733773ca3b01fe9b8272b19a6a","1","1","118620","https://p.scdn.co/mp3-preview/22939880cbc70fdfdf6b3d380cc44142d0d8133e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:","2022-03-04T16:39:03Z","","0.61","0.143","8","-17.467","1","0.107","0.899","0.886","0.123","0.451","87.018","4","","Firefly Entertainment AB","C werklig, P werklig"
