"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:14td7C4K7BX8jsSYtgtQqy","Bois Lie","spotify:artist:0p4nmQO2msCgU4IF37Wi3j, spotify:artist:6TIYQ3jFPwQSRmorSezPxX","Avril Lavigne, Machine Gun Kelly","spotify:album:5yLayeW2yw7QpH06QVIpiv","Love Sux","spotify:artist:0p4nmQO2msCgU4IF37Wi3j","Avril Lavigne","2022-02-25","https://i.scdn.co/image/ab67616d0000b273f839113379c5044ae2ad1f15","1","2","163320","https://p.scdn.co/mp3-preview/376c5c228c41f37034ab7a29a91399a8675ebd35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:","2022-03-14T12:25:19Z","canadian pop,candy pop,dance pop,pop,post-teen pop,ohio hip hop,pop rap","0.547","0.861","6","-4.674","1","0.0726","0.00219","0","0.135","0.738","143.986","4","","Sony Music Labels Inc.","P (P) 2021(3),2022(1,2,4-12) Avril Lavigne Music & Entertainment 2013 Inc. All rights reserved."
"spotify:track:0IPKskRI33eRXjUhNUr9b5","Loved You A Little (with Taking Back Sunday and Charlotte Sands)","spotify:artist:4o0pNHbyj36LPvukNqEug0, spotify:artist:24XtlMhEMNdi822vi0MhY1, spotify:artist:2cAXhrWAztXGwk6r15ibW2","The Maine, Taking Back Sunday, Charlotte Sands","spotify:album:2tgx0FJj6dtx3GzTm1Jbbd","Loved You A Little (with Taking Back Sunday and Charlotte Sands)","spotify:artist:4o0pNHbyj36LPvukNqEug0, spotify:artist:24XtlMhEMNdi822vi0MhY1, spotify:artist:2cAXhrWAztXGwk6r15ibW2","The Maine, Taking Back Sunday, Charlotte Sands","2022-01-20","https://i.scdn.co/image/ab67616d0000b27349dc85a9b7b8472de0f8efe6","1","1","207280","https://p.scdn.co/mp3-preview/6635661957cc6408c30268894037e5583c180864?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:","2022-03-14T12:25:19Z","modern alternative rock,modern rock,neon pop punk,pop punk,pop rock,rock,tempe indie,emo,pop punk,alt z","0.484","0.828","11","-5.197","1","0.0543","0.0288","0","0.313","0.577","195.999","4","","Photo Finish Records / 8123","C © 2022 Photo Finish Records / 8123, P ℗ 2022 Photo Finish Records / 8123"
"spotify:track:0hyjxXkT5neqnNmJUVjtD4","2009","spotify:artist:3pWE3vAZ06uBBPsmguhCz2","Aryia","spotify:album:59ZhsyVbxiKkuKm0vUK65d","2009","spotify:artist:3pWE3vAZ06uBBPsmguhCz2","Aryia","2022-02-04","https://i.scdn.co/image/ab67616d0000b273fbeed20d53e6aa1b4b1aa6c7","1","1","191145","https://p.scdn.co/mp3-preview/981d926a68f83f32dd54ac2e8e681ccb919e0a8e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","spotify:user:","2022-03-14T12:25:19Z","","0.612","0.931","2","-5.145","1","0.0677","0.00224","0","0.269","0.645","145.991","4","","Aryia","C 2021 Aryia, P 2021 Aryia"
"spotify:track:0OjhULGHagMRAQNjJQlesU","Everybody But You","spotify:artist:1qqdO7xMptucPDMopsOdkr, spotify:artist:79SZgK0iRDlLJpsH7mSvNC","State Champs, Ben Barlow","spotify:album:36kZTm9kqSjuu1nb32IAAA","Everybody but You","spotify:artist:1qqdO7xMptucPDMopsOdkr","State Champs","2022-02-23","https://i.scdn.co/image/ab67616d0000b273d1f376ba8b328bc151a1ca1f","1","1","227393","https://p.scdn.co/mp3-preview/f1436639bd35945a69af678a2f2dbc68d0c96366?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","spotify:user:","2022-03-14T12:25:19Z","anthem emo,pixie,pop punk","0.659","0.914","8","-3.908","1","0.0497","0.0042","0.0000258","0.077","0.79","105.017","4","","Pure Noise Records","C (C) 2021 Pure Noise Records, P (P) 2022 Pure Noise Records"
"spotify:track:0HBJYdY4dsF6vd7xqLLWxH","Ruin My Life (feat. Deryck Whibley)","spotify:artist:2p4FqHnazRucYQHyDCdBrJ, spotify:artist:4qJK4cVUMM04auRU8oa4bf","Simple Plan, Deryck Whibley","spotify:album:0ff0J1jhzWqDJDv5Cv03Dp","Ruin My Life (feat. Deryck Whibley)","spotify:artist:2p4FqHnazRucYQHyDCdBrJ","Simple Plan","2022-02-18","https://i.scdn.co/image/ab67616d0000b2738d60f8a267a46d1b868c2411","1","1","199198","https://p.scdn.co/mp3-preview/a8ddb797306dcf9623156156186e13c548eb707a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:","2022-03-14T12:25:19Z","canadian pop punk,canadian punk,canadian rock,pop punk","0.505","0.893","1","-3.314","1","0.1","0.00169","0","0.145","0.682","171.081","4","","Simple Plan","C (C) 2022 Simple Plan, P (P) 2022 Simple Plan"
"spotify:track:0lRlsjGhgUDCjJzz3RjwNb","hair out","spotify:artist:1W2Fv4YUnjC8hx2qQd6fGh","Stand Atlantic","spotify:album:2mkGeTROsTphs5nrVRYJ82","hair out","spotify:artist:1W2Fv4YUnjC8hx2qQd6fGh","Stand Atlantic","2022-03-03","https://i.scdn.co/image/ab67616d0000b2733fdbb0f677df882caece772e","1","1","160380","https://p.scdn.co/mp3-preview/9c07109f2698da38d78fa5a6149f94ab78c9c7a6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","spotify:user:","2022-03-14T12:25:19Z","anthem emo,modern rock,pixie,pop punk,rock","0.675","0.897","7","-4.684","1","0.0769","0.000487","0","0.133","0.549","112.963","4","","Hopeless Records","C 2022 Hopeless Records, Inc., P 2022 Hopeless Records, Inc."
"spotify:track:2AAyBZmMVZSZfgzXRYJOWQ","emo girl (feat. WILLOW)","spotify:artist:6TIYQ3jFPwQSRmorSezPxX, spotify:artist:3rWZHrfrsPBxVy692yAIxF","Machine Gun Kelly, WILLOW","spotify:album:1BnZXtDOHSW7tx72fPAhyA","emo girl (feat. WILLOW)","spotify:artist:6TIYQ3jFPwQSRmorSezPxX, spotify:artist:3rWZHrfrsPBxVy692yAIxF","Machine Gun Kelly, WILLOW","2022-02-04","https://i.scdn.co/image/ab67616d0000b273bd166a8c7d6ae431937be7ef","1","1","159096","https://p.scdn.co/mp3-preview/c683197cf5cade61b77a7c2a6dc57739183cf336?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","spotify:user:","2022-03-14T12:25:19Z","ohio hip hop,pop rap,afrofuturism,dance pop,electropop,pop,post-teen pop","0.41","0.881","2","-3.502","1","0.087","0.000406","0.0000426","0.922","0.357","165.006","4","","Bad Boy/Interscope Records","C © 2022 Bad Boy/Interscope Records, P ℗ 2022 Bad Boy/Interscope Records"
"spotify:track:0SbcVQyMO5M68AzhX8gYaS","SIDEWAYS (with Travis Barker)","spotify:artist:24qqDoA4BBXVnPOdHBjT54, spotify:artist:4exLIFE8sISLr28sqG1qNX","Jack Kays, Travis Barker","spotify:album:5YwWOzaV6HGAUylT1MvoJZ","MY FAVORITE NIGHTMARES","spotify:artist:24qqDoA4BBXVnPOdHBjT54, spotify:artist:4exLIFE8sISLr28sqG1qNX","Jack Kays, Travis Barker","2021-12-10","https://i.scdn.co/image/ab67616d0000b273a3af1ff0ed981bf3d9353af8","1","1","124191","https://p.scdn.co/mp3-preview/90a072e8493c8f755a1326bcff37cd7ea4b21b1a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","spotify:user:","2022-03-14T12:25:19Z","cincinnati rap,emo rap,pop rap,sad rap,rap rock","0.606","0.811","1","-4.785","1","0.0588","0.00251","0","0.164","0.578","90.076","4","","Columbia","P (P) 2021 Hills Nation, Inc. under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:3PXPKC81NbQc9Eaig0vLZO","Erase You","spotify:artist:5Vp7LqcfAtx2U1RfIX8i7r","Point North","spotify:album:1rO6JlIBPhEnyY9fdO7BsI","Erase You","spotify:artist:5Vp7LqcfAtx2U1RfIX8i7r","Point North","2021-07-30","https://i.scdn.co/image/ab67616d0000b27327abeb31eb6be166332cb5b1","1","1","178000","https://p.scdn.co/mp3-preview/92f12c775a133957107af4867ba502311b108077?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","spotify:user:","2022-03-14T12:25:19Z","pop punk","0.544","0.935","0","-2.986","1","0.17","0.00213","0","0.115","0.676","170.019","4","","Hopeless Records","C 2021 Hopeless Records, Inc., P 2021 Hopeless Records, Inc."
"spotify:track:6VTzauIrG2hjKtKFYFJfMT","debbie downer","spotify:artist:5MjcGshMggPgIHinIUDaX0, spotify:artist:0uGk2czvcpWQA383Im6ajf","LØLØ, Maggie Lindemann","spotify:album:4jxtbLNDuxXJwXk8D9EhS6","debbie downer","spotify:artist:5MjcGshMggPgIHinIUDaX0, spotify:artist:0uGk2czvcpWQA383Im6ajf","LØLØ, Maggie Lindemann","2022-02-10","https://i.scdn.co/image/ab67616d0000b273d6feb97889d3dd10558933f4","1","1","159617","https://p.scdn.co/mp3-preview/e1f3442d578f5abfb0ddc674b9f82e8122d32966?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","spotify:user:","2022-03-14T12:25:19Z","alt z,canadian pop,alt z,dark pop,pop,post-teen pop","0.555","0.932","2","-3.422","1","0.0632","0.00808","0","0.066","0.687","90.002","4","","Hopeless Records","C 2022 Hopeless Records, Inc., P 2022 Hopeless Records, Inc."
