"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2jxujpjjRkggQbPPNhVseJ","Jamie All Over","spotify:artist:3WfJ1OtrWI7RViX9DMyEGy","Mayday Parade","spotify:album:1Ewi8Uxjw5Etf7y8zaww9K","A Lesson In Romantics (Anniversary Edition)","spotify:artist:3WfJ1OtrWI7RViX9DMyEGy","Mayday Parade","2017-03-17","https://i.scdn.co/image/ab67616d0000b273e3cec48047eb806b0c1c7845","1","1","216000","https://p.scdn.co/mp3-preview/c10f4b481369cae99de2eb05c3708ac3faaa311d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:","2019-11-02T00:45:20Z","neon pop punk,pop emo,pop punk,rock","0.426","0.868","1","-3.702","1","0.047","0.0000654","0","0.0723","0.402","149.042","4","","Fearless Records","C © 2017 Fearless Records, a division of Concord Music Group, Inc., P ℗ 2017 Fearless Records, a division of Concord Music Group, Inc."
"spotify:track:1aYWQrIT8XPdtV4hhUjczN","Cute Without the ""E"" (Cut From the Team)","spotify:artist:24XtlMhEMNdi822vi0MhY1","Taking Back Sunday","spotify:album:6OWxP59cOtitg0ALmbms8e","Tell All Your Friends (Re-Issue)","spotify:artist:24XtlMhEMNdi822vi0MhY1","Taking Back Sunday","2002","https://i.scdn.co/image/ab67616d0000b27300b1ad0727b1682a892d923f","1","3","211546","","false","0","spotify:user:","2019-11-02T00:45:20Z","emo,pop punk","0.402","0.859","1","-4.41","0","0.0466","0.0394","0","0.0745","0.514","95.31","4","","Victory","C (C) 2005 Another Victory/ Taking Back Sunday, P (P) 2005 VICTORY RECORDS"
"spotify:track:7wOmQJeVX6qjNXqqsKOkPx","Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","spotify:album:4ab7jYzCRPCIz0k2CNKPGm","A Fever You Can't Sweat Out","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","2005-09-27","https://i.scdn.co/image/ab67616d0000b2734fe2ead5d050f6002e8aaeb3","1","7","200226","https://p.scdn.co/mp3-preview/97a3af44edbcbd780ac66a3c4c5060a1288e0daa?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","spotify:user:","2019-11-02T00:45:20Z","modern rock,rock","0.66","0.799","8","-4.644","1","0.0995","0.106","0","0.154","0.475","125.966","4","","Fueled By Ramen/ADA","C © 2005 Fueled By Ramen, LLC, P ℗ 2005 Fueled By Ramen, LLC"
"spotify:track:3ZsexY07D4t4HRq7ogeSAS","Dear Maria, Count Me In","spotify:artist:46gyXjRIvN1NL1eCB8GBxo","All Time Low","spotify:album:2e8m3glGL3xIuSrGGXzcIc","So Wrong, It's Right (Deluxe Version)","spotify:artist:46gyXjRIvN1NL1eCB8GBxo","All Time Low","2008-07-29","https://i.scdn.co/image/ab67616d0000b27333dd0d612eaea5c67db11bb4","1","6","182826","","false","1","spotify:user:","2019-11-02T00:45:20Z","modern rock,pop punk,rock","0.465","0.896","2","-3.126","1","0.0795","0.00725","0","0.206","0.569","181.014","4","","Hopeless Records","C 2008 Hopeless Records, Inc., P 2008 Hopeless Records, Inc."
"spotify:track:6oiaq7aC6DooFHBFJkmQ1n","Sweetness","spotify:artist:3Ayl7mCk0nScecqOzvNp6s","Jimmy Eat World","spotify:album:2ZuFyQ3E5n1L0VA9iyH0YV","Bleed American (Deluxe Edition)","spotify:artist:3Ayl7mCk0nScecqOzvNp6s","Jimmy Eat World","2001","https://i.scdn.co/image/ab67616d0000b273b5ec73a1aa766b71aaeeed5e","1","5","220506","","false","0","spotify:user:","2019-11-02T00:45:20Z","alternative rock,emo,modern power pop,modern rock,pop punk,pop rock,rock","0.485","0.91","5","-3.678","1","0.0358","0.00343","0","0.173","0.6","135.064","4","","Interscope","C © 2008 Geffen Records, P ℗ 2008 Geffen Records"
"spotify:track:6SpLc7EXZIPpy0sVko0aoU","Misery Business","spotify:artist:74XFHRwlV6OrjEM0A2NCMF","Paramore","spotify:album:71rziY9eLo1tA2dBMxrwhc","Riot!","spotify:artist:74XFHRwlV6OrjEM0A2NCMF","Paramore","2007-06-11","https://i.scdn.co/image/ab67616d0000b273bee754528c08d5ff6799a1eb","1","4","211520","https://p.scdn.co/mp3-preview/d4aacf7e02038a401759df9a908756e4f71de0fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","spotify:user:","2019-11-02T00:45:20Z","candy pop,pixie,pop emo,pop punk","0.517","0.906","1","-3.677","1","0.0735","0.00272","0.00000926","0.113","0.731","172.977","4","","Fueled By Ramen","C © 2007 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. All Rights Reserved., P ℗ 2007 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. All Rights Reserved."
"spotify:track:7lRlq939cDG4SzWOF4VAnd","I'm Not Okay (I Promise)","spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb","My Chemical Romance","spotify:album:3DuiGV3J09SUhvp8gqNx8h","Three Cheers for Sweet Revenge","spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb","My Chemical Romance","2004-06-08","https://i.scdn.co/image/ab67616d0000b273cab7ae4868e9f9ce6bdfdf43","1","5","186480","https://p.scdn.co/mp3-preview/b5ad0ef700a456e320076c3000826d0ce050eb6e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","spotify:user:","2019-11-02T00:45:20Z","emo,pop punk,rock","0.21","0.94","9","-3.427","1","0.123","0.00602","0","0.269","0.255","179.722","4","","Reprise","C © 2004 Reprise Records for the U.S. and WEA International Inc. for the world outside the U.S., P ℗ 2004 Reprise Records for the U.S. and WEA International Inc. for the world outside the U.S."
"spotify:track:5GhYfK0jevTEtXOaqCKCxw","Be My Escape","spotify:artist:3nJWBJvK7uGvfp4iZh9CkN","Relient K","spotify:album:2C94K2j4f1FKWwxogAcNuX","Mmhmm","spotify:artist:3nJWBJvK7uGvfp4iZh9CkN","Relient K","2004-11-02","https://i.scdn.co/image/ab67616d0000b2736449697de9d8b2dcd46ae168","1","2","240453","","false","0","spotify:user:","2019-11-02T00:45:20Z","canadian ccm,christian alternative rock,christian music,christian punk,christian rock,pop punk","0.551","0.865","9","-5.005","1","0.0399","0.00585","0","0.14","0.244","112.486","4","","Gotee Records","C 2013 Gotee Records, P 2013 Gotee Records"
"spotify:track:0ChpoNjXfJPjMvCIN6so6J","Memory","spotify:artist:04RtvnUz0XrUbUZzOA8ZoW","Sugarcult","spotify:album:5pCXe1ZrHEUZeYhMCe0pLX","Palm Trees and Power Lines","spotify:artist:04RtvnUz0XrUbUZzOA8ZoW","Sugarcult","2004-04-13","https://i.scdn.co/image/ab67616d0000b273d0c4b14b57f31b349fe36d1c","1","3","226080","https://p.scdn.co/mp3-preview/178d48e8cc409ece173d3f899bea7ae53325fb79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:","2019-11-02T00:45:20Z","emo,neon pop punk,pop punk,punk,screamo","0.449","0.864","1","-3.892","1","0.0352","0.0000204","0","0.108","0.713","167.154","4","","Fearless/Sheridan Square","C 2004 Fearless/Sheridan Square, P 2004 Fearless/Sheridan Square"
"spotify:track:23oxJmDc1V9uLUSmN2LIvx","Ocean Avenue","spotify:artist:3zxKH0qp3nBCuPZCZT5Vaf","Yellowcard","spotify:album:24IBCzEJlHBI0ioxlSuSPA","Ocean Avenue","spotify:artist:3zxKH0qp3nBCuPZCZT5Vaf","Yellowcard","2003-01-01","https://i.scdn.co/image/ab67616d0000b273d1fd8f264564d9eef7617a45","1","3","198266","https://p.scdn.co/mp3-preview/b2b5d20865277b4ae07aa77311fb6efc8109416a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:","2019-11-02T00:45:20Z","bow pop,pop punk,pop rock,rock,socal pop punk","0.486","0.904","6","-3.751","0","0.0638","0.0000343","0.0000283","0.0947","0.786","173.734","4","","Capitol Records","C © 2003 Capitol Records Inc., P ℗ 2003 Capitol Records Inc."
"spotify:track:0wVluBsVAVzBKrqspuCcwR","Check Yes, Juliet","spotify:artist:3ao3jf5d70Tf4fPh2bnXVl","We The Kings","spotify:album:5kykHij9W4lQ4fFEfIo7BB","We The Kings","spotify:artist:3ao3jf5d70Tf4fPh2bnXVl","We The Kings","2007-10-07","https://i.scdn.co/image/ab67616d0000b273ce85d297fc24805972bd8df1","1","3","220146","https://p.scdn.co/mp3-preview/068cad9417f07f6c3b00c0c0a8993e737dca4ad5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:","2019-11-02T00:45:20Z","neon pop punk,piano rock,pop punk,pop rock,post-teen pop","0.352","0.912","7","-4.253","1","0.0725","0.00197","0","0.193","0.351","166.795","4","","S-Curve Records","C © 2007 S-Curve Records, P ℗ 2007 S-Curve Records"
"spotify:track:4cqYUqmKMcb3q1tdImVpGW","Weightless","spotify:artist:46gyXjRIvN1NL1eCB8GBxo","All Time Low","spotify:album:5WoRLOCwzWVCGqFXLBghGx","Nothing Personal (Deluxe Version)","spotify:artist:46gyXjRIvN1NL1eCB8GBxo","All Time Low","2009-07-07","https://i.scdn.co/image/ab67616d0000b273bd7374cabcaa20422ac046ad","1","1","198000","","false","0","spotify:user:","2019-11-02T00:45:20Z","modern rock,pop punk,rock","0.497","0.923","2","-4.512","1","0.137","0.00282","0","0.158","0.667","181.075","4","","Hopeless Records","C 2009 Hopeless Records, Inc., P 2009 Hopeless Records, Inc."
