"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:083PU4XnYAOMAGVruma3vb","Shrike","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","spotify:album:2c7gFThUYyo2t6ogAgIYNw","Wasteland, Baby!","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","2019-03-01","https://i.scdn.co/image/ab67616d0000b2735795e01c151ba5a8ce4bd295","1","8","298880","https://p.scdn.co/mp3-preview/897f81256624dd8c5915c5698a8b1f13b1a841a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:","2022-03-10T15:05:35Z","irish singer-songwriter,pop","0.506","0.275","7","-8.464","0","0.0292","0.494","0.00377","0.101","0.0639","153.769","3","","Columbia","P (P) 2019 Rubyworks Ltd., under license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:0oEji7lz6paMOdk97XEK4Z","look up","spotify:artist:7rrTqtOUOwva4sgTx9C9F9","Joy Oladokun","spotify:album:3dzxXQLyHYrhKYWcKrnFAZ","in defense of my own happiness","spotify:artist:7rrTqtOUOwva4sgTx9C9F9","Joy Oladokun","2021-06-04","https://i.scdn.co/image/ab67616d0000b273a776765472458f423d5a32f6","1","12","213933","https://p.scdn.co/mp3-preview/9f36a46971adce168fb037f1a82a521655205960?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:","2022-03-10T15:05:35Z","black americana,indie folk,la pop,neo mellow,new americana","0.446","0.295","0","-9.711","1","0.0321","0.829","0","0.14","0.197","119.931","3","","Verve Forecast/Republic Records","C © 2021 Amigo Records, LLC, under exclusive license to Verve Forecast/Republic Records, a division of UMG Recordings, Inc., P ℗ 2021 Amigo Records, LLC, under exclusive license to Verve Forecast/Republic Records, a division of UMG Recordings, Inc."
"spotify:track:3pC8tUjIZPORslYYmJbJcz","Sinking Ship","spotify:artist:1xLMexpeeTKQ20SwGMaGSK","Wild Child","spotify:album:0zMY9ikg9RB64fPHXKAmYt","Sinking Ship / Back & Forth","spotify:artist:1xLMexpeeTKQ20SwGMaGSK","Wild Child","2018-01-09","https://i.scdn.co/image/ab67616d0000b273e3f872248a0d556b318f10d2","1","1","247493","https://p.scdn.co/mp3-preview/4fef21ed4c480d6da17f125410dde38437c13525?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:","2022-03-10T15:05:35Z","austin americana,austindie,deep new americana,folk-pop,indie folk,new americana,stomp and holler","0.37","0.174","4","-19.316","0","0.0377","0.95","0.0029","0.11","0.181","92.75","4","","Dualtone Music Group, Inc.","C 2018 Dualtone Music Group, Inc., P 2018 Dualtone Music Group, Inc."
"spotify:track:7iH6cflAGYwR82sNMZiGuq","Until You","spotify:artist:08Uextujt6ZT2iQmSYAJfH","AHI","spotify:album:03MCMaTPo8CiVxwcCvgyem","Until You","spotify:artist:08Uextujt6ZT2iQmSYAJfH","AHI","2021-06-18","https://i.scdn.co/image/ab67616d0000b273388ed6b662de28ca67519b1a","1","1","198653","https://p.scdn.co/mp3-preview/595eaa1a67172ad53751ad32b18b9414f0900d8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:","2022-03-10T15:05:35Z","canadian folk,indie folk","0.722","0.484","9","-10.175","1","0.0611","0.904","0.00000342","0.108","0.44","139.88","4","","22nd Sentry","C (C) 2021 22nd Sentry marketed and distributed by Thirty Tigers, P (P) 2021 22nd Sentry marketed and distributed by Thirty Tigers"
"spotify:track:1fYouLdK3PkOMPnx4CPxTY","Such A Simple Thing","spotify:artist:6DoH7ywD5BcQvjloe9OcIj","Ray LaMontagne","spotify:album:2ONLi2PRd2i4vkC15zc7Hu","Such A Simple Thing","spotify:artist:6DoH7ywD5BcQvjloe9OcIj","Ray LaMontagne","2018-03-23","https://i.scdn.co/image/ab67616d0000b273da516e77307998fa60124ebf","1","1","296386","","false","1","spotify:user:","2022-03-10T15:05:35Z","acoustic pop,indie folk,neo mellow,pop rock,stomp and holler","0.522","0.256","10","-11.216","1","0.0258","0.86","0.000806","0.142","0.13","76.349","4","","RCA Records Label","P (P) 2018 Stone Dwarf LLC, under license to RCA Records, a division of Sony Music Entertainment"
"spotify:track:0NeJjNlprGfZpeX2LQuN6c","River","spotify:artist:3qnGvpP8Yth1AqSBMqON5x","Leon Bridges","spotify:album:4svLfrPPk2npPVuI4kXPYg","Coming Home","spotify:artist:3qnGvpP8Yth1AqSBMqON5x","Leon Bridges","2015-06-15","https://i.scdn.co/image/ab67616d0000b27369101a9ff9d0653a753eab10","1","10","238560","","false","3","spotify:user:","2022-03-10T15:05:35Z","modern blues","0.658","0.179","8","-10.866","1","0.0448","0.689","0","0.17","0.191","128.128","4","","Columbia","P (P) 2015 LisaSawyer63, Inc. under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:4fbvXwMTXPWaFyaMWUm9CR","Holocene","spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ","Bon Iver","spotify:album:1JlvIsP2f6ckoa62aN7kLn","Bon Iver","spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ","Bon Iver","2011-06-21","https://i.scdn.co/image/ab67616d0000b273567b0a6defc057bcbfaedadb","1","3","336613","","true","9","spotify:user:","2022-03-10T15:05:35Z","eau claire indie,indie folk,melancholia","0.374","0.304","1","-14.52","1","0.0302","0.943","0.298","0.126","0.147","147.969","4","","Jagjaguwar","C 2011 Jagjaguwar, P 2011 Jagjaguwar"
"spotify:track:3pMbjkN5k9z6kZ2bcEZH1s","Sapling","spotify:artist:4bUqnkrDrb4f7rqmDR9yDu","Foy Vance","spotify:album:3NDur1o0sAsj62FgRrDqvH","Sapling / Signs Of Life","spotify:artist:4bUqnkrDrb4f7rqmDR9yDu","Foy Vance","2021-05-27","https://i.scdn.co/image/ab67616d0000b2739352d89e193511facc37daae","1","1","257853","https://p.scdn.co/mp3-preview/adc26fc0212ddf17050a8dc3c2298e86ec26eece?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:","2022-03-10T15:05:35Z","acoustic pop,british singer-songwriter,indie folk,irish singer-songwriter,neo mellow,new americana,stomp and holler,uk americana","0.447","0.458","10","-8.532","0","0.0702","0.585","0.000422","0.105","0.158","129.861","4","","Atlantic Records UK","C © 2021 Gingerbread Man Records Limited, P ℗ 2021 Gingerbread Man Records Limited"
"spotify:track:7EWwiyBXMaLzoSXwWZkYyU","Calico","spotify:artist:1ifC4znYCvmMSJ0rght5JS","Haux","spotify:album:6ocDemfIGrj8hpvvpjDFoc","Calico","spotify:artist:1ifC4znYCvmMSJ0rght5JS","Haux","2020-05-13","https://i.scdn.co/image/ab67616d0000b2731560c9492dfb3b340f22d872","1","1","231000","https://p.scdn.co/mp3-preview/0f9c0cb8719167f6a04ee405f23d7997dc42cc5e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:","2022-03-10T15:05:35Z","chamber pop,indie folk,vapor soul","0.353","0.239","0","-16.256","1","0.036","0.929","0.589","0.0681","0.299","106.79","3","","Ultra Records","C 2020 Ultra Records, LLC, P 2020 Ultra Records, LLC"
"spotify:track:4R59wt5nnhYo88PIu3cUIt","Olalla","spotify:artist:3ccVtqcqedranb7y8eywJ5","Blanco White","spotify:album:7ruII5ZslQNpw4viJv10yG","On the Other Side","spotify:artist:3ccVtqcqedranb7y8eywJ5","Blanco White","2020-06-05","https://i.scdn.co/image/ab67616d0000b273a3f4de426e0339cb7b1ce832","1","9","248160","https://p.scdn.co/mp3-preview/506172be88466e810368aee74216088ef8d973f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:","2022-03-10T15:05:35Z","british singer-songwriter,chamber pop,indie folk","0.573","0.406","3","-11.946","1","0.0361","0.653","0.475","0.123","0.376","130.021","4","","Yucatan Records","C 2020 Yucatan Records, P 2020 Yucatan Records"
"spotify:track:52Xwn8r3KLcwgHO0wyDNbC","The Way Back Home","spotify:artist:3vsVCHUe68gqUMIZwaVUIK","Aisha Badru","spotify:album:0Hx4AIsLgkYCDZgsdb4pdi","The Way Back Home","spotify:artist:3vsVCHUe68gqUMIZwaVUIK","Aisha Badru","2021-08-06","https://i.scdn.co/image/ab67616d0000b273970fb8fde7558f294a3f854f","1","1","214361","","false","42","spotify:user:","2022-03-10T15:05:35Z","chamber pop,high vibe,indie folk,new americana,nyc pop","0.47","0.329","2","-16.57","1","0.0382","0.685","0.000183","0.085","0.102","82.148","4","","Nettwerk Records","C © 2021 Aisha Badru under exclusive license to Nettwerk Music Group Inc., P ℗ 2021 Aisha Badru under exclusive license to Nettwerk Music Group Inc."
"spotify:track:7oe8E6wlEuxJpCSqZu9VVf","Resentment","spotify:artist:7E1o9IcnpiFQDlAUk2H7Az","Madi Diaz","spotify:album:35i4zihamjGrr1nBrtknip","Resentment","spotify:artist:7E1o9IcnpiFQDlAUk2H7Az","Madi Diaz","2021-07-28","https://i.scdn.co/image/ab67616d0000b27335c1bf552aa61a2b8bc8ba82","1","1","173426","","false","10","spotify:user:","2022-03-10T15:05:35Z","acoustic pop,indie folk,indie pop,new americana","0.554","0.122","11","-12.692","1","0.0614","0.883","0","0.107","0.381","166.355","4","","Anti/Epitaph","C 2021 Anti, P 2021 Anti"
"spotify:track:3HAgxyWGeJtIVabS2mTREt","Vagabond","spotify:artist:0wyMPXGfOuQzNR54ujR9Ix","Caamp","spotify:album:4bYZ9xpRDgpOn6qUWLngTr","Caamp","spotify:artist:0wyMPXGfOuQzNR54ujR9Ix","Caamp","2016-03-08","https://i.scdn.co/image/ab67616d0000b27380d9cfea4f76a68ce4ca6c52","1","2","129463","https://p.scdn.co/mp3-preview/25474a5f6cbe1972aaebcd9de24094dc082411a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:","2022-03-10T15:05:35Z","indie folk,stomp and holler","0.571","0.399","4","-11.919","1","0.0364","0.766","0.0146","0.0926","0.611","141.922","4","","Caamp","C 2016 Caamp, P 2016 Caamp"
"spotify:track:4JKHACLkotsxdKNF9vJYOS","Nothing Arrived - Live from Spotify London","spotify:artist:2m1l9MLSslzup4vvokKgvQ","Villagers","spotify:album:378rFsWTa7DZ8nZVHSaA18","Spotify Sessions","spotify:artist:2m1l9MLSslzup4vvokKgvQ","Villagers","2013-02-18","https://i.scdn.co/image/ab67616d0000b2732f6bed9dfd75f49bd6b4b53b","1","2","219093","","false","0","spotify:user:","2022-03-10T15:05:35Z","chamber pop,indie folk,indie rock,stomp and holler","0.579","0.415","7","-11.599","1","0.0397","0.929","0.0018","0.671","0.42","102.713","4","","Domino Recording Co","C 2013 Domino Recording Co Ltd, P 2013 Domino Recording Co Ltd"
